,train_losses (absolute mean error),valid_losses
88,1.231623982,1.134080646
89,1.235299264,1.126901304
90,1.22951313,1.159976402
91,1.235234985,1.176086901
92,1.218973785,1.167618435
93,1.251526615,1.133155961
94,1.22215234,1.246558792
95,1.259339962,1.148830805
96,1.223183308,1.182795504
97,1.228589064,1.151527718
98,1.206764586,1.196786427
99,1.269326848,1.139241134
100,1.217490066,1.190936617
101,1.215098443,1.21119371
102,1.246900794,1.121143808
103,1.205385453,1.189406061
104,1.239073554,1.129521457
105,1.205821466,1.193982687
106,1.242981986,1.150185647
107,1.207100948,1.178742554
108,1.243535018,1.133951005
109,1.200578386,1.165132915
110,1.243069004,1.125197121
111,1.201642703,1.182549104
112,1.239330953,1.118877732
113,1.192994587,1.181724781
114,1.247588196,1.131919181
115,1.214154878,1.260126703
116,1.238991509,1.129389461
117,1.204180724,1.130160383
118,1.18735874,1.182624955
119,1.192704348,1.15371005
120,1.193782284,1.137156187
121,1.210808672,1.117671448
122,1.196348403,1.192702471
123,1.23546552,1.134859268
124,1.192955535,1.171106474
125,1.198071585,1.150588031
126,1.192766321,1.189474132
127,1.209567526,1.137553503
128,1.179485449,1.197831554
129,1.204322254,1.143051919
130,1.178688465,1.176590472
131,1.211846505,1.103918865
132,1.175300114,1.150858482
133,1.182339116,1.165082987
134,1.172236368,1.17029006
135,1.180032621,1.136839706
136,1.165179432,1.168502099
137,1.256501858,1.1392589
138,1.179874729,1.193205098
139,1.174016708,1.155862572
140,1.198570393,1.140019267
141,1.177519807,1.23780271
142,1.16566073,1.173004608
143,1.190678659,1.138633011
144,1.164975089,1.179775831
145,1.204723113,1.125986993
146,1.161381973,1.161781591
147,1.180662716,1.123198128
148,1.167002854,1.148438452
149,1.155529511,1.172616306
150,1.178227118,1.11315113
151,1.147735883,1.104305208
152,1.140023213,1.153380472
153,1.166742207,1.155322741
154,1.160826816,1.231867535
155,1.170575137,1.108608767
156,1.142568664,1.120033033
157,1.149644842,1.113180194
158,1.136555061,1.147867561
159,1.147784589,1.130791379
160,1.134364293,1.138544662
161,1.155107451,1.118593933
162,1.13030651,1.155423059
163,1.158262445,1.12790868
164,1.122334514,1.144443292
165,1.120529073,1.151897799
166,1.134909192,1.152799051
167,1.122879823,1.162112032
168,1.127261187,1.195739549
169,1.19386379,1.147338281
170,1.141268402,1.15092477
171,1.123721239,1.125207447
172,1.129212984,1.133822807
173,1.118710776,1.140787703
174,1.11889001,1.205845508
175,1.254399275,1.203732492
176,1.11770246,1.184276573
177,1.127898609,1.135296058
178,1.145479343,1.165670288
179,1.11828482,1.204956224
180,1.12203713,1.152466491
181,1.105642143,1.156473047
182,1.196969057,1.163010279
183,1.099736824,1.150767893
184,1.128113589,1.175471765
185,1.120865146,1.197799043
186,1.111315817,1.151892704
187,1.107053899,1.144381617
188,1.122576278,1.147822573
189,1.104659863,1.156335445
190,1.108477902,1.175043835
191,1.092972644,1.182501188
192,1.111264598,1.158110568
193,1.089864278,1.191855868
194,1.116825598,1.172913022
195,1.137239461,1.161392026
196,1.082344784,1.149950043
197,1.08956043,1.165426103
198,1.134181766,1.178235818
199,1.084656821,1.184488039
200,1.087258596,1.179999385
201,1.123020997,1.151156843
202,1.083560136,1.155116208
203,1.093336254,1.163945911
204,1.081787483,1.159548164
205,1.076661373,1.154368942
206,1.119114256,1.15974317
207,1.073218264,1.154932285
208,1.075682013,1.157281566
209,1.125126804,1.188232412
210,1.100569363,1.238605966
211,1.072471934,1.170509826
212,1.126506967,1.170135032
213,1.065903726,1.183416924
214,1.064653015,1.178609102
215,1.073378987,1.170007823
216,1.082484146,1.232848976
217,1.109098997,1.215001487
218,1.060506855,1.179224123
219,1.057753161,1.184151338
220,1.04504394,1.20079591
221,1.052398418,1.202568874
222,1.052877868,1.22007538
223,1.048659594,1.226417459
224,1.117838799,1.204102038
225,1.051060952,1.167237649
226,1.052625096,1.19332694
227,1.070459908,1.21129469
228,1.046229381,1.21377004
229,1.060738521,1.221938632
230,1.045905936,1.217497283
231,1.042027992,1.206848894
232,1.04292157,1.217415996
233,1.037823116,1.232328941
234,1.048067633,1.214355802
235,1.039990212,1.204989885
236,1.037413454,1.222538461
237,1.025717,1.220575689
238,1.021238218,1.215442173
239,1.029918989,1.21090682
240,1.035416341,1.210856035
241,1.016937239,1.249563381
242,1.011329647,1.231426046
243,1.021939921,1.235738861
244,1.096424334,1.269325707
245,1.014051989,1.258457955
246,1.028152002,1.275207796
247,1.02828238,1.227809877
248,1.018699361,1.197607279
249,1.042718408,1.195526651
250,1.01785518,1.216312092
251,1.011386208,1.206189484
252,1.005976287,1.226832522
253,1.002061848,1.234003187
254,1.004332713,1.259725375
255,1.007824558,1.272885358
256,1.012721212,1.211230462
257,1.005820308,1.228222832
258,1.004134988,1.249806692
259,1.004032561,1.230657333
260,1.010506725,1.236793465
261,0.985586354,1.230291389
262,0.989568817,1.208709939
263,1.005347193,1.264052063
264,0.990051762,1.269546455
265,0.993474831,1.207519209
266,0.99369835,1.237185078
267,0.996768199,1.284058731
268,0.975903041,1.29253269
269,0.988313325,1.244689834
270,1.002325428,1.222165435
271,0.981816585,1.277191102
272,1.125083603,1.386020872
273,0.989791974,1.265016537
274,0.986793723,1.273916534
275,1.006292916,1.298771724
276,1.027725817,1.254735888
277,0.975013076,1.257933408
278,0.973427682,1.274501625
279,1.000080395,1.302935554
280,0.989980805,1.284228508
281,0.974813795,1.286211493
282,0.973239486,1.305693768
283,0.98898535,1.275214856
284,0.977085163,1.270973874
285,0.966215903,1.296922202
