,train_losses,valid_losses,,"(1, 75, [32, 32], 16, 0.5, 1e-05, 'regression')"
92,1.381016788,1.441014753,,
93,1.378976745,1.442739053,,
94,1.379527676,1.442509977,,
95,1.376160201,1.440464674,,
96,1.372856183,1.436492239,,
97,1.371280813,1.436224495,,
98,1.369098389,1.435000763,,
99,1.367750379,1.434885497,,
100,1.367735545,1.434721891,,
101,1.365710464,1.432363185,,
102,1.362603087,1.43062371,,
103,1.361858594,1.429118694,,
104,1.359630558,1.42991924,,
105,1.359265453,1.430398673,,
106,1.356619281,1.428035779,,
107,1.355772777,1.430170356,,
108,1.354716084,1.429828951,,
109,1.352836933,1.427837612,,
110,1.351329334,1.428542111,,
111,1.351836789,1.430960953,,
112,1.349040366,1.426362988,,
113,1.347496554,1.425953296,,
114,1.34524235,1.425532264,,
115,1.344779496,1.424995268,,
116,1.34205214,1.42137447,,
117,1.341578584,1.418880723,,
118,1.340851715,1.419053465,,
119,1.340450311,1.420397995,,
120,1.340322776,1.420846471,,
121,1.337638857,1.416198552,,
122,1.335733035,1.416085881,,
123,1.335681931,1.418568623,,
124,1.335576995,1.416697093,,
125,1.335134575,1.416658259,,
126,1.335807308,1.420144838,,
127,1.331142106,1.414188088,,
128,1.328856323,1.412178026,,
129,1.328086695,1.411675963,,
130,1.326627766,1.407744763,,
131,1.326357367,1.406893565,,
132,1.324951449,1.407554966,,
133,1.322865418,1.403951984,,
134,1.322412636,1.402807796,,
135,1.321271938,1.404654796,,
136,1.319313673,1.401562579,,
137,1.319359306,1.401324659,,
138,1.318704097,1.400853088,,
139,1.317513513,1.398615884,,
140,1.31647607,1.398126088,,
141,1.313451774,1.398017015,,
142,1.313830935,1.395344918,,
143,1.31383382,1.397160845,,
144,1.312943948,1.393226266,,
145,1.311737608,1.39370656,,
146,1.310989615,1.393502459,,
147,1.309164381,1.394992572,,
148,1.308630298,1.39614732,,
149,1.306865892,1.396145775,,
150,1.30662148,1.395191807,,
151,1.305815924,1.395202171,,
152,1.305682289,1.396323816,,
153,1.304797215,1.392025296,,
154,1.303705022,1.38991406,,
155,1.303125505,1.392591736,,
156,1.301423878,1.39106667,,
157,1.30005673,1.387822167,,
158,1.300320047,1.386273105,,
159,1.29875261,1.387589996,,
160,1.297090936,1.386640771,,
161,1.296469344,1.385079337,,
162,1.294742285,1.386698658,,
163,1.294936199,1.38636832,,
164,1.292720721,1.382321249,,
165,1.292581751,1.381129047,,
166,1.293321806,1.384429551,,
167,1.292880125,1.383647463,,
168,1.290045762,1.380247438,,
169,1.288125429,1.378128741,,
170,1.287185813,1.377792337,,
171,1.285685834,1.379217081,,
172,1.285889407,1.378455954,,
173,1.286193263,1.378020237,,
174,1.285481173,1.378864141,,
175,1.285128107,1.37600199,,
176,1.284289025,1.376013226,,
177,1.282686583,1.378127988,,
178,1.282559785,1.377112521,,
179,1.282805269,1.378304771,,
180,1.281072391,1.37670569,,
181,1.279375473,1.376413876,,
182,1.27898118,1.37328864,,
183,1.28001504,1.375384527,,
184,1.277639345,1.37446741,,
185,1.276007095,1.376055844,,
186,1.276005995,1.373726172,,
187,1.274981787,1.370789207,,
188,1.27442949,1.370922983,,
189,1.274240328,1.372216497,,
190,1.271592381,1.369594431,,
191,1.271004451,1.36574317,,
