,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
34,{'mean_absolute_error': 0.8825372363914141},{'mean_absolute_error': 1.1332172600192103},{'mean_absolute_error': 0.8842520233591237},{'mean_absolute_error': 1.089059251712821},{'mean_absolute_error': 0.9307154522080822},{'mean_absolute_error': 1.1878032896147392}
35,{'mean_absolute_error': 0.9152779288489499},{'mean_absolute_error': 1.1989468396122709},{'mean_absolute_error': 0.874603469252639},{'mean_absolute_error': 1.0823457924454873},{'mean_absolute_error': 1.0099534927508875},{'mean_absolute_error': 1.2099157591956218}
36,{'mean_absolute_error': 0.8830034939304751},{'mean_absolute_error': 1.096430570325636},{'mean_absolute_error': 0.8457625949435782},{'mean_absolute_error': 1.0871081183670863},{'mean_absolute_error': 0.9047290478656856},{'mean_absolute_error': 1.099439339563377}
37,{'mean_absolute_error': 0.849887647199969},{'mean_absolute_error': 1.1481887362148717},{'mean_absolute_error': 0.8408082501885312},{'mean_absolute_error': 1.0524792957248275},{'mean_absolute_error': 0.8647165227774309},{'mean_absolute_error': 1.0511403909105643}
38,{'mean_absolute_error': 0.8199063563333606},{'mean_absolute_error': 1.1351629854795642},{'mean_absolute_error': 0.838932992184858},{'mean_absolute_error': 1.0910843351336426},{'mean_absolute_error': 0.8609403692560419},{'mean_absolute_error': 1.1422463655307704}
39,{'mean_absolute_error': 0.8300967398176278},{'mean_absolute_error': 1.1172836521033096},{'mean_absolute_error': 0.8176450593409613},{'mean_absolute_error': 1.1260299734729788},{'mean_absolute_error': 0.8485947400534728},{'mean_absolute_error': 1.155976820971559}
40,{'mean_absolute_error': 0.9016420280680499},{'mean_absolute_error': 1.2323321650969545},{'mean_absolute_error': 0.8437537622487307},{'mean_absolute_error': 1.1182453080481727},{'mean_absolute_error': 0.8422161984806675},{'mean_absolute_error': 1.1163616345385348}
41,{'mean_absolute_error': 0.8350286116807727},{'mean_absolute_error': 1.1419746869886693},{'mean_absolute_error': 0.8214795006842637},{'mean_absolute_error': 1.1397048886765384},{'mean_absolute_error': 0.8203869180778945},{'mean_absolute_error': 1.1415023864694662}
42,{'mean_absolute_error': 0.8220845800434863},{'mean_absolute_error': 1.1624368178213917},{'mean_absolute_error': 0.7776312615747994},{'mean_absolute_error': 1.0887189869988096},{'mean_absolute_error': 0.7859411048416669},{'mean_absolute_error': 1.1338165518869896}
43,{'mean_absolute_error': 0.8379828014732223},{'mean_absolute_error': 1.1663768599250375},{'mean_absolute_error': 0.8191740126547836},{'mean_absolute_error': 1.1323174957788806},{'mean_absolute_error': 0.7904253181571849},{'mean_absolute_error': 1.1127437884646072}
44,{'mean_absolute_error': 0.8215144385386848},{'mean_absolute_error': 1.1407688964022373},{'mean_absolute_error': 0.8183476737550806},{'mean_absolute_error': 1.194410738030926},{'mean_absolute_error': 0.7860144684134637},{'mean_absolute_error': 1.0759084916103872}
45,{'mean_absolute_error': 0.7495450668445124},{'mean_absolute_error': 1.1300481541148641},{'mean_absolute_error': 0.7835952877455536},{'mean_absolute_error': 1.146865645214731},{'mean_absolute_error': 0.7796680201323708},{'mean_absolute_error': 1.0887374523873485}
46,{'mean_absolute_error': 0.7257948008871286},{'mean_absolute_error': 1.1093982708788739},{'mean_absolute_error': 0.7391259718770204},{'mean_absolute_error': 1.0752235385872824},{'mean_absolute_error': 0.7416124875326278},{'mean_absolute_error': 1.1212302604722066}
47,{'mean_absolute_error': 0.7149990167093003},{'mean_absolute_error': 1.1445853014257186},{'mean_absolute_error': 0.7411424294065322},{'mean_absolute_error': 1.1640130677882685},{'mean_absolute_error': 0.7116986536696306},{'mean_absolute_error': 1.1457520868879838}
48,{'mean_absolute_error': 0.6921793793934296},{'mean_absolute_error': 1.151500390717531},{'mean_absolute_error': 0.7174043229140932},{'mean_absolute_error': 1.0752562960103855},{'mean_absolute_error': 0.7024188028047287},{'mean_absolute_error': 1.1693092656173658}
49,{'mean_absolute_error': 0.6952726238644855},{'mean_absolute_error': 1.1197507154723794},{'mean_absolute_error': 0.692723646053656},{'mean_absolute_error': 1.1104796818526268},{'mean_absolute_error': 0.6756872558463856},{'mean_absolute_error': 1.1344691148231123}
50,{'mean_absolute_error': 0.69762342698312},{'mean_absolute_error': 1.2008215286633868},{'mean_absolute_error': 0.6857407895450242},{'mean_absolute_error': 1.1563168556302026},{'mean_absolute_error': 0.6671929546321395},{'mean_absolute_error': 1.1372436976875024}
51,{'mean_absolute_error': 0.6624766116231859},{'mean_absolute_error': 1.1815136004114961},{'mean_absolute_error': 0.6813630263905693},{'mean_absolute_error': 1.1215928382727005},{'mean_absolute_error': 0.6455426235321661},{'mean_absolute_error': 1.151997830603193}
52,{'mean_absolute_error': 0.62979454343099},{'mean_absolute_error': 1.1500277053225998},{'mean_absolute_error': 0.68188788311479},{'mean_absolute_error': 1.142962291483483},{'mean_absolute_error': 0.6177481379764711},{'mean_absolute_error': 1.1149894185042166}
