,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
39,{'mean_absolute_error': 2.7016407542855756},{'mean_absolute_error': 2.3866006454790334},{'mean_absolute_error': 4.800778757953396},{'mean_absolute_error': 4.628807107700048},{'mean_absolute_error': 2.0496949334640338},{'mean_absolute_error': 4.049159928784389}
40,{'mean_absolute_error': 2.884299374314771},{'mean_absolute_error': 2.463152629659705},{'mean_absolute_error': 2.305967083481542},{'mean_absolute_error': 1.9590184654055174},{'mean_absolute_error': 1.9982689470050985},{'mean_absolute_error': 4.025838607433558}
41,{'mean_absolute_error': 3.300192886854299},{'mean_absolute_error': 3.016078166518932},{'mean_absolute_error': 2.2475142990736368},{'mean_absolute_error': 1.8338249798010045},{'mean_absolute_error': 2.1223960412286194},{'mean_absolute_error': 4.261694305556546}
42,{'mean_absolute_error': 3.300203376168594},{'mean_absolute_error': 3.032082473664479},{'mean_absolute_error': 2.4513558145258223},{'mean_absolute_error': 1.9637756898874952},{'mean_absolute_error': 2.076062616804779},{'mean_absolute_error': 4.212582644524955}
43,{'mean_absolute_error': 3.8157708516584203},{'mean_absolute_error': 3.529159908643214},{'mean_absolute_error': 3.549324630628373},{'mean_absolute_error': 3.434685873727002},{'mean_absolute_error': 2.3599784208549583},{'mean_absolute_error': 4.520152398350175}
44,{'mean_absolute_error': 4.9222027191529865},{'mean_absolute_error': 4.496419013839354},{'mean_absolute_error': 3.203347004711402},{'mean_absolute_error': 3.1068499121227977},{'mean_absolute_error': 2.827013414176654},{'mean_absolute_error': 4.94965751234283}
45,{'mean_absolute_error': 3.241601957559851},{'mean_absolute_error': 2.988233226676336},{'mean_absolute_error': 3.213400655651876},{'mean_absolute_error': 3.1292336952533897},{'mean_absolute_error': 2.751170895064188},{'mean_absolute_error': 4.882772131752951}
46,{'mean_absolute_error': 3.7658260693760552},{'mean_absolute_error': 3.4977154357501523},{'mean_absolute_error': 2.299537284293125},{'mean_absolute_error': 1.943868522755821},{'mean_absolute_error': 2.265840718273372},{'mean_absolute_error': 4.4291720343155}
47,{'mean_absolute_error': 2.7349102143178823},{'mean_absolute_error': 2.5244052616626784},{'mean_absolute_error': 2.6837715687084005},{'mean_absolute_error': 2.2047883926489744},{'mean_absolute_error': 2.0012527803141493},{'mean_absolute_error': 4.127541654213094}
48,{'mean_absolute_error': 3.274873999686994},{'mean_absolute_error': 2.944275935150194},{'mean_absolute_error': 2.308081979418557},{'mean_absolute_error': 2.127912229774937},{'mean_absolute_error': 2.02496428789204},{'mean_absolute_error': 4.02531408253824}
49,{'mean_absolute_error': 3.0275292825961087},{'mean_absolute_error': 2.793291007902015},{'mean_absolute_error': 2.3116554787099104},{'mean_absolute_error': 2.106975705101635},{'mean_absolute_error': 2.174524015401244},{'mean_absolute_error': 4.348573651847759}
