,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert,
17,1.9438372125,4.3658971149,1.3973394757,0.0682750468,1.6357872797,3.6288956795,1.2105037878,0.0679623718,
18,1.8865744651,4.2007132462,1.3907682114,0.0682419376,1.5842666146,3.4721086997,1.2127738324,0.0679173116,
19,1.835348821,4.052869328,1.3849812169,0.0681959181,1.5383853826,3.3313025981,1.2159938685,0.0678596811,
20,1.7883857973,3.916732892,1.3802391414,0.0681853587,1.4969028489,3.2027246599,1.2201361269,0.0678477597,
21,1.7459972571,3.7930362984,1.3768126332,0.0681428396,1.4592864791,3.086127379,1.2239349332,0.0677971251,
22,1.7067554827,3.6775614895,1.3745930185,0.0681119401,1.4258593937,2.9827399103,1.2270810488,0.0677572221,
23,1.6712095384,3.5728398925,1.3726846284,0.0681040942,1.397181868,2.8922573579,1.2315419397,0.0677463063,
24,1.639640859,3.4792067477,1.3716349882,0.068080841,1.3712503339,2.8104276728,1.235613448,0.067709881,
25,1.6076866607,3.3840978944,1.3708966949,0.0680653926,1.344897103,2.7269400183,1.2400680527,0.0676832379,
26,1.5833112201,3.3114245446,1.3704596307,0.0680494848,1.3240683834,2.6609842018,1.2435682026,0.0676527459,
27,1.5620852076,3.2481466409,1.370076144,0.0680328378,1.3065787207,2.6048163875,1.2473005631,0.0676192113,
28,1.5421525454,3.1885648885,1.3698652531,0.0680274945,1.2901684361,2.5519741983,1.2509231366,0.0676079733,
29,1.5282926356,3.1469965496,1.3698610457,0.0680203115,1.2794379793,2.5154113955,1.2553099595,0.0675925829,
30,1.5132833367,3.1017598019,1.3700715163,0.0680186919,1.2672097493,2.4752201697,1.2588186915,0.0675903866,
31,1.5001291605,3.0620261715,1.3703528121,0.0680084978,1.2559961676,2.4388218982,1.2615972987,0.0675693059,
32,1.4849492441,3.0163068803,1.3705456983,0.0679951537,1.2425903943,2.3969978381,1.2632336548,0.0675396899,
33,1.4746250897,2.9849698845,1.3709034922,0.0680018923,1.2339035793,2.3684184,1.2657354339,0.067556904,
34,1.4655380077,2.9572855574,1.3713280713,0.0680003944,1.2261478164,2.3427678656,1.2681207786,0.067554805,
35,1.45933075,2.9381165269,1.3718793887,0.0679963344,1.221134352,2.3249953264,1.2708610246,0.0675467051,
36,1.4514427704,2.9140326433,1.3723090109,0.0679866571,1.2148200475,2.3038461796,1.273090344,0.067523619,
