,train_scores,valid_scores
202,{'mean_absolute_error': 0.8104099566647146},{'mean_absolute_error': 1.2559049199555037}
203,{'mean_absolute_error': 0.7833419955542222},{'mean_absolute_error': 1.1944154025920037}
204,{'mean_absolute_error': 0.8240867723535583},{'mean_absolute_error': 1.3004976837791717}
205,{'mean_absolute_error': 0.7972243839193455},{'mean_absolute_error': 1.209816095350793}
206,{'mean_absolute_error': 0.79593560767983},{'mean_absolute_error': 1.2827422320877542}
207,{'mean_absolute_error': 0.7781425031436103},{'mean_absolute_error': 1.2656306946157103}
208,{'mean_absolute_error': 0.7574026298786167},{'mean_absolute_error': 1.2150690487931606}
209,{'mean_absolute_error': 0.7782663093963679},{'mean_absolute_error': 1.3452883296562472}
210,{'mean_absolute_error': 0.7563919185407841},{'mean_absolute_error': 1.2382972468101257}
211,{'mean_absolute_error': 0.7542884652974488},{'mean_absolute_error': 1.2333553146114322}
212,{'mean_absolute_error': 0.7520430050316723},{'mean_absolute_error': 1.2797242490319254}
213,{'mean_absolute_error': 0.7523877165299546},{'mean_absolute_error': 1.2742065448453397}
214,{'mean_absolute_error': 0.7692283080693522},{'mean_absolute_error': 1.255111786142611}
215,{'mean_absolute_error': 0.7598575148901494},{'mean_absolute_error': 1.2477986964763643}
216,{'mean_absolute_error': 0.7746982948060622},{'mean_absolute_error': 1.2544723845786}
217,{'mean_absolute_error': 0.751528545554708},{'mean_absolute_error': 1.2725001131894256}
218,{'mean_absolute_error': 0.7810942858769776},{'mean_absolute_error': 1.2987905009502188}
219,{'mean_absolute_error': 0.7535510894654363},{'mean_absolute_error': 1.266061688395506}
220,{'mean_absolute_error': 0.7534760744401773},{'mean_absolute_error': 1.2230546039819414}
221,{'mean_absolute_error': 0.7474533325248572},{'mean_absolute_error': 1.27973720072687}
222,{'mean_absolute_error': 0.7535075952517295},{'mean_absolute_error': 1.3147978258141004}
223,{'mean_absolute_error': 0.7631413898097005},{'mean_absolute_error': 1.287880261226617}
224,{'mean_absolute_error': 0.7461090267262261},{'mean_absolute_error': 1.21249214986716}
225,{'mean_absolute_error': 0.7616290370034356},{'mean_absolute_error': 1.2522471084186713}
226,{'mean_absolute_error': 0.7750721310393791},{'mean_absolute_error': 1.273968930891397}
227,{'mean_absolute_error': 0.7545769605497736},{'mean_absolute_error': 1.2829456597574562}
228,{'mean_absolute_error': 0.7746993876858427},{'mean_absolute_error': 1.2439794605734102}
229,{'mean_absolute_error': 0.7464897226466974},{'mean_absolute_error': 1.2443188695137595}
230,{'mean_absolute_error': 0.7475065273599838},{'mean_absolute_error': 1.328241553667412}
231,{'mean_absolute_error': 0.7570302365175071},{'mean_absolute_error': 1.299346110835889}
232,{'mean_absolute_error': 0.7763399923977049},{'mean_absolute_error': 1.2197155901699488}
233,{'mean_absolute_error': 0.7715647924452812},{'mean_absolute_error': 1.304116657309473}
234,{'mean_absolute_error': 0.7502229319536831},{'mean_absolute_error': 1.326361983629284}
235,{'mean_absolute_error': 0.737313654545542},{'mean_absolute_error': 1.2756636632142422}
236,{'mean_absolute_error': 0.7528820120011822},{'mean_absolute_error': 1.2441656823088023}
237,{'mean_absolute_error': 0.7579499432861687},{'mean_absolute_error': 1.2402079795460708}
238,{'mean_absolute_error': 0.7520171640808923},{'mean_absolute_error': 1.3646847687301678}
239,{'mean_absolute_error': 0.7769841310585915},{'mean_absolute_error': 1.342100143845408}
240,{'mean_absolute_error': 0.7502452976555022},{'mean_absolute_error': 1.282986365609016}
241,{'mean_absolute_error': 0.7382874466294572},{'mean_absolute_error': 1.2681912435081621}
242,{'mean_absolute_error': 0.7541792012684757},{'mean_absolute_error': 1.3075095446077183}
243,{'mean_absolute_error': 0.7589872593438369},{'mean_absolute_error': 1.2830434510233568}
244,{'mean_absolute_error': 0.749529777152429},{'mean_absolute_error': 1.2703971915595167}
245,{'mean_absolute_error': 0.7327029611232115},{'mean_absolute_error': 1.2795617043684333}
246,{'mean_absolute_error': 0.7435671760163866},{'mean_absolute_error': 1.2963008063670916}
247,{'mean_absolute_error': 0.7279481846603765},{'mean_absolute_error': 1.2500680049449293}
248,{'mean_absolute_error': 0.731814441891061},{'mean_absolute_error': 1.2732723929308707}
249,{'mean_absolute_error': 0.7643214850791961},{'mean_absolute_error': 1.2619265475773467}
