,train_scores,valid_scores
198,{'mean_absolute_error': 0.2073086652899926},{'mean_absolute_error': 1.0692374633565813}
199,{'mean_absolute_error': 0.19776715819815358},{'mean_absolute_error': 1.065623259057653}
200,{'mean_absolute_error': 0.22832595253646595},{'mean_absolute_error': 1.0890079443787621}
201,{'mean_absolute_error': 0.19714567305108052},{'mean_absolute_error': 1.0737884740389854}
202,{'mean_absolute_error': 0.22877519647786146},{'mean_absolute_error': 1.0836217989186034}
203,{'mean_absolute_error': 0.19461163955601413},{'mean_absolute_error': 1.0811158858471845}
204,{'mean_absolute_error': 0.28122630582609726},{'mean_absolute_error': 1.025367079162273}
205,{'mean_absolute_error': 0.210272465698472},{'mean_absolute_error': 1.0697288179025208}
206,{'mean_absolute_error': 0.20728176039883817},{'mean_absolute_error': 1.0743561848248402}
207,{'mean_absolute_error': 0.1948885850365578},{'mean_absolute_error': 1.072881668490753}
208,{'mean_absolute_error': 0.1881509557198342},{'mean_absolute_error': 1.0642667979434501}
209,{'mean_absolute_error': 0.26058347441035495},{'mean_absolute_error': 1.0875470371858071}
210,{'mean_absolute_error': 0.22505022630257582},{'mean_absolute_error': 1.077181942485334}
211,{'mean_absolute_error': 0.27157432192192366},{'mean_absolute_error': 1.088057395637242}
212,{'mean_absolute_error': 0.21133339611107096},{'mean_absolute_error': 1.0842656274968085}
213,{'mean_absolute_error': 0.18691565510341626},{'mean_absolute_error': 1.0641412665243701}
214,{'mean_absolute_error': 0.21298773997797854},{'mean_absolute_error': 1.046644074863933}
215,{'mean_absolute_error': 0.1991433904511123},{'mean_absolute_error': 1.113034269410457}
216,{'mean_absolute_error': 0.22597237439717296},{'mean_absolute_error': 1.090811970261967}
217,{'mean_absolute_error': 0.19120490054728148},{'mean_absolute_error': 1.050870664681465}
218,{'mean_absolute_error': 0.20140761720373143},{'mean_absolute_error': 1.112862079773945}
219,{'mean_absolute_error': 0.2018768756147845},{'mean_absolute_error': 1.0702917440065858}
220,{'mean_absolute_error': 0.19389502280099907},{'mean_absolute_error': 1.0638481706707594}
221,{'mean_absolute_error': 0.21408240463435546},{'mean_absolute_error': 1.0310175370069408}
222,{'mean_absolute_error': 0.20036374467791632},{'mean_absolute_error': 1.066992238197537}
223,{'mean_absolute_error': 0.18017015876088818},{'mean_absolute_error': 1.0674632892372726}
224,{'mean_absolute_error': 0.17981350205580587},{'mean_absolute_error': 1.0650789283312745}
225,{'mean_absolute_error': 0.19367270903150932},{'mean_absolute_error': 1.0638664488748661}
226,{'mean_absolute_error': 0.20093462244761504},{'mean_absolute_error': 1.0473914396278365}
227,{'mean_absolute_error': 0.21433637195523678},{'mean_absolute_error': 1.0596976497370747}
228,{'mean_absolute_error': 0.2496348670697973},{'mean_absolute_error': 1.099403085400193}
229,{'mean_absolute_error': 0.18660180361205467},{'mean_absolute_error': 1.044867777103179}
230,{'mean_absolute_error': 0.19691399381487715},{'mean_absolute_error': 1.0866696684426171}
231,{'mean_absolute_error': 0.18707149922929592},{'mean_absolute_error': 1.0764776800164604}
232,{'mean_absolute_error': 0.20273387471545698},{'mean_absolute_error': 1.0909990686490538}
233,{'mean_absolute_error': 0.24413369149529626},{'mean_absolute_error': 1.0850301959617914}
234,{'mean_absolute_error': 0.20113962875371094},{'mean_absolute_error': 1.0834611294179153}
235,{'mean_absolute_error': 0.17277986498162845},{'mean_absolute_error': 1.0614344576822312}
236,{'mean_absolute_error': 0.182241676688583},{'mean_absolute_error': 1.0634340326711176}
237,{'mean_absolute_error': 0.18006028935255994},{'mean_absolute_error': 1.0639603836991325}
238,{'mean_absolute_error': 0.22555006301148126},{'mean_absolute_error': 1.026282499187715}
239,{'mean_absolute_error': 0.24083693623773683},{'mean_absolute_error': 1.017020315802323}
240,{'mean_absolute_error': 0.18443040917185008},{'mean_absolute_error': 1.0504926063368776}
241,{'mean_absolute_error': 0.17387636734887293},{'mean_absolute_error': 1.0488743565953498}
242,{'mean_absolute_error': 0.20246604465459034},{'mean_absolute_error': 1.0336299480548647}
243,{'mean_absolute_error': 0.18220481254448254},{'mean_absolute_error': 1.0388733945005875}
244,{'mean_absolute_error': 0.19726998319022387},{'mean_absolute_error': 1.0614277861364536}
245,{'mean_absolute_error': 0.21716557519294918},{'mean_absolute_error': 1.0819930755483949}
246,{'mean_absolute_error': 0.1918700164721855},{'mean_absolute_error': 1.0470934471795248}
247,{'mean_absolute_error': 0.22004714025219943},{'mean_absolute_error': 1.0572919852465466}
248,{'mean_absolute_error': 0.17039040496791197},{'mean_absolute_error': 1.0447011033024487}
249,{'mean_absolute_error': 0.3366703883150186},{'mean_absolute_error': 1.0629329930252298}
