,train_losses,valid_losses
126,{'mean_absolute_error': 1.3358073075928096},{'mean_absolute_error': 1.4201448379750787}
127,{'mean_absolute_error': 1.3311421064706443},{'mean_absolute_error': 1.414188087564667}
128,{'mean_absolute_error': 1.3288563233727777},{'mean_absolute_error': 1.4121780255527017}
129,{'mean_absolute_error': 1.3280866947042014},{'mean_absolute_error': 1.4116759633020552}
130,{'mean_absolute_error': 1.3266277661963863},{'mean_absolute_error': 1.4077447630948223}
131,{'mean_absolute_error': 1.3263573671778066},{'mean_absolute_error': 1.4068935653709622}
132,{'mean_absolute_error': 1.3249514488178236},{'mean_absolute_error': 1.4075549655956479}
133,{'mean_absolute_error': 1.3228654176927652},{'mean_absolute_error': 1.4039519836160388}
134,{'mean_absolute_error': 1.3224126360326272},{'mean_absolute_error': 1.4028077957268683}
135,{'mean_absolute_error': 1.3212719382870013},{'mean_absolute_error': 1.4046547956211621}
136,{'mean_absolute_error': 1.3193136731020276},{'mean_absolute_error': 1.4015625789614323}
137,{'mean_absolute_error': 1.319359305993985},{'mean_absolute_error': 1.401324659455292}
138,{'mean_absolute_error': 1.3187040969950605},{'mean_absolute_error': 1.4008530881844494}
139,{'mean_absolute_error': 1.317513513046249},{'mean_absolute_error': 1.398615883946689}
140,{'mean_absolute_error': 1.3164760698755003},{'mean_absolute_error': 1.3981260880795554}
141,{'mean_absolute_error': 1.3134517735290694},{'mean_absolute_error': 1.3980170151369358}
142,{'mean_absolute_error': 1.3138309350980895},{'mean_absolute_error': 1.3953449176032795}
143,{'mean_absolute_error': 1.3138338197073063},{'mean_absolute_error': 1.3971608451300617}
144,{'mean_absolute_error': 1.3129439476629123},{'mean_absolute_error': 1.3932262656845005}
145,{'mean_absolute_error': 1.3117376077676932},{'mean_absolute_error': 1.393706560108845}
146,{'mean_absolute_error': 1.3109896146487894},{'mean_absolute_error': 1.393502459335032}
147,{'mean_absolute_error': 1.3091643814780662},{'mean_absolute_error': 1.394992571893938}
148,{'mean_absolute_error': 1.3086302978781672},{'mean_absolute_error': 1.3961473200941434}
149,{'mean_absolute_error': 1.3068658922318732},{'mean_absolute_error': 1.3961457746018577}
150,{'mean_absolute_error': 1.3066214802575802},{'mean_absolute_error': 1.3951918067551121}
151,{'mean_absolute_error': 1.3058159237039315},{'mean_absolute_error': 1.3952021707098607}
152,{'mean_absolute_error': 1.3056822891906972},{'mean_absolute_error': 1.3963238161903346}
153,{'mean_absolute_error': 1.3047972154478582},{'mean_absolute_error': 1.3920252964734765}
154,{'mean_absolute_error': 1.3037050220381847},{'mean_absolute_error': 1.3899140595453385}
155,{'mean_absolute_error': 1.3031255051514872},{'mean_absolute_error': 1.3925917360205835}
156,{'mean_absolute_error': 1.3014238779729939},{'mean_absolute_error': 1.3910666700011258}
157,{'mean_absolute_error': 1.3000567297517642},{'mean_absolute_error': 1.387822166645452}
158,{'mean_absolute_error': 1.3003200468201108},{'mean_absolute_error': 1.3862731053169584}
159,{'mean_absolute_error': 1.2987526096049398},{'mean_absolute_error': 1.3875899959732145}
160,{'mean_absolute_error': 1.2970909358944906},{'mean_absolute_error': 1.3866407711971909}
161,{'mean_absolute_error': 1.2964693435551973},{'mean_absolute_error': 1.385079336629276}
162,{'mean_absolute_error': 1.2947422852911754},{'mean_absolute_error': 1.3866986578186815}
163,{'mean_absolute_error': 1.2949361993155732},{'mean_absolute_error': 1.3863683197461178}
164,{'mean_absolute_error': 1.2927207213796945},{'mean_absolute_error': 1.3823212489087822}
165,{'mean_absolute_error': 1.2925817511778606},{'mean_absolute_error': 1.381129046771559}
166,{'mean_absolute_error': 1.2933218060822402},{'mean_absolute_error': 1.3844295507385496}
167,{'mean_absolute_error': 1.2928801254815554},{'mean_absolute_error': 1.383647462994554}
168,{'mean_absolute_error': 1.2900457618281207},{'mean_absolute_error': 1.3802474375896863}
169,{'mean_absolute_error': 1.288125428942104},{'mean_absolute_error': 1.3781287412424752}
170,{'mean_absolute_error': 1.2871858129251568},{'mean_absolute_error': 1.3777923374983139}
171,{'mean_absolute_error': 1.2856858342705542},{'mean_absolute_error': 1.3792170806196486}
172,{'mean_absolute_error': 1.2858894065982618},{'mean_absolute_error': 1.3784559539167685}
173,{'mean_absolute_error': 1.2861932626814512},{'mean_absolute_error': 1.3780202373479415}
174,{'mean_absolute_error': 1.285481172635526},{'mean_absolute_error': 1.3788641412707616}
175,{'mean_absolute_error': 1.2851281070450369},{'mean_absolute_error': 1.3760019896365994}
176,{'mean_absolute_error': 1.284289025287981},{'mean_absolute_error': 1.376013226422886}
177,{'mean_absolute_error': 1.282686583183458},{'mean_absolute_error': 1.3781279876536077}
178,{'mean_absolute_error': 1.282559785470167},{'mean_absolute_error': 1.3771125210666055}
179,{'mean_absolute_error': 1.2828052694303913},{'mean_absolute_error': 1.3783047714555918}
180,{'mean_absolute_error': 1.2810723908202795},{'mean_absolute_error': 1.3767056902528274}
181,{'mean_absolute_error': 1.2793754725954685},{'mean_absolute_error': 1.376413876407624}
182,{'mean_absolute_error': 1.278981179599306},{'mean_absolute_error': 1.3732886397790192}
183,{'mean_absolute_error': 1.2800150399030004},{'mean_absolute_error': 1.3753845271995349}
184,{'mean_absolute_error': 1.277639345048769},{'mean_absolute_error': 1.3744674098936176}
185,{'mean_absolute_error': 1.276007095297336},{'mean_absolute_error': 1.3760558444474627}
186,{'mean_absolute_error': 1.2760059947228672},{'mean_absolute_error': 1.3737261719247158}
187,{'mean_absolute_error': 1.2749817871136784},{'mean_absolute_error': 1.37078920713521}
188,{'mean_absolute_error': 1.2744294903968971},{'mean_absolute_error': 1.3709229833705094}
189,{'mean_absolute_error': 1.2742403276574958},{'mean_absolute_error': 1.372216496536189}
190,{'mean_absolute_error': 1.2715923811853669},{'mean_absolute_error': 1.369594431008682}
191,{'mean_absolute_error': 1.2710044505245568},{'mean_absolute_error': 1.3657431701264782}
192,{'mean_absolute_error': 1.270656190257228},{'mean_absolute_error': 1.3665268754613642}
193,{'mean_absolute_error': 1.2700356279140161},{'mean_absolute_error': 1.3684336398126715}
194,{'mean_absolute_error': 1.2693526048512906},{'mean_absolute_error': 1.365343118192207}
195,{'mean_absolute_error': 1.2679860092971011},{'mean_absolute_error': 1.3685418155404447}
196,{'mean_absolute_error': 1.269029274226403},{'mean_absolute_error': 1.3677164766048049}
197,{'mean_absolute_error': 1.270710321067194},{'mean_absolute_error': 1.3674991053960106}
198,{'mean_absolute_error': 1.2681051994706156},{'mean_absolute_error': 1.3665247398181508}
199,{'mean_absolute_error': 1.2662119024847764},{'mean_absolute_error': 1.3632897813978198}
200,{'mean_absolute_error': 1.26604493364996},{'mean_absolute_error': 1.361592224342015}
201,{'mean_absolute_error': 1.2645200051427992},{'mean_absolute_error': 1.3635111868926446}
202,{'mean_absolute_error': 1.2637807785122868},{'mean_absolute_error': 1.3635892387214565}
203,{'mean_absolute_error': 1.2625555980461007},{'mean_absolute_error': 1.3630773056501024}
204,{'mean_absolute_error': 1.2617519132082495},{'mean_absolute_error': 1.3608201505085336}
205,{'mean_absolute_error': 1.2607584173832955},{'mean_absolute_error': 1.3583555923776078}
206,{'mean_absolute_error': 1.2615717966742783},{'mean_absolute_error': 1.3583062066081237}
207,{'mean_absolute_error': 1.2603542480372385},{'mean_absolute_error': 1.3568412872314384}
208,{'mean_absolute_error': 1.2607481716107127},{'mean_absolute_error': 1.356598150567292}
209,{'mean_absolute_error': 1.258288439138679},{'mean_absolute_error': 1.3540095355647073}
210,{'mean_absolute_error': 1.2568819815398755},{'mean_absolute_error': 1.3547392569399777}
211,{'mean_absolute_error': 1.2558353090732601},{'mean_absolute_error': 1.3559184155471402}
212,{'mean_absolute_error': 1.2537041404800744},{'mean_absolute_error': 1.3554971072765623}
213,{'mean_absolute_error': 1.2541041084335456},{'mean_absolute_error': 1.354452919454051}
214,{'mean_absolute_error': 1.254279620031864},{'mean_absolute_error': 1.3546861967334272}
215,{'mean_absolute_error': 1.2538214520420556},{'mean_absolute_error': 1.3536640965686544}
216,{'mean_absolute_error': 1.2536278604763451},{'mean_absolute_error': 1.3535297924962122}
217,{'mean_absolute_error': 1.2531109887468852},{'mean_absolute_error': 1.352888690451138}
218,{'mean_absolute_error': 1.2508609623354972},{'mean_absolute_error': 1.352904307813059}
219,{'mean_absolute_error': 1.249783210237215},{'mean_absolute_error': 1.352527042771323}
220,{'mean_absolute_error': 1.2507089538855967},{'mean_absolute_error': 1.3521772895630173}
221,{'mean_absolute_error': 1.2499984270217965},{'mean_absolute_error': 1.3532652278419715}
222,{'mean_absolute_error': 1.247944913956004},{'mean_absolute_error': 1.351793672350392}
223,{'mean_absolute_error': 1.2467574031695208},{'mean_absolute_error': 1.350565920247846}
224,{'mean_absolute_error': 1.247495977565255},{'mean_absolute_error': 1.3529168355810486}
225,{'mean_absolute_error': 1.2473934569369602},{'mean_absolute_error': 1.3517186389141032}
226,{'mean_absolute_error': 1.2454114307818323},{'mean_absolute_error': 1.3492467238924173}
227,{'mean_absolute_error': 1.2442214368261697},{'mean_absolute_error': 1.348316722691425}
228,{'mean_absolute_error': 1.245187322245103},{'mean_absolute_error': 1.3468405570481077}
229,{'mean_absolute_error': 1.242605553349974},{'mean_absolute_error': 1.3444996920838563}
230,{'mean_absolute_error': 1.2430523857060147},{'mean_absolute_error': 1.3447227613291397}
231,{'mean_absolute_error': 1.2431361654497661},{'mean_absolute_error': 1.3438606376024886}
232,{'mean_absolute_error': 1.2414265109985272},{'mean_absolute_error': 1.3450065991937}
233,{'mean_absolute_error': 1.2411205824547182},{'mean_absolute_error': 1.3437769812153098}
234,{'mean_absolute_error': 1.240582207022538},{'mean_absolute_error': 1.342741510673287}
235,{'mean_absolute_error': 1.2404537864378222},{'mean_absolute_error': 1.3430892967697103}
236,{'mean_absolute_error': 1.2401732199879363},{'mean_absolute_error': 1.3445160245905696}
237,{'mean_absolute_error': 1.2403374997592955},{'mean_absolute_error': 1.3444754551356215}
238,{'mean_absolute_error': 1.239490008273778},{'mean_absolute_error': 1.3441162535836384}
239,{'mean_absolute_error': 1.2374873473103367},{'mean_absolute_error': 1.343346183170213}
240,{'mean_absolute_error': 1.235645668281663},{'mean_absolute_error': 1.3431998601930963}
241,{'mean_absolute_error': 1.235917298865051},{'mean_absolute_error': 1.3401329138985156}
242,{'mean_absolute_error': 1.2341463804855657},{'mean_absolute_error': 1.3386789232433707}
243,{'mean_absolute_error': 1.2327575024255475},{'mean_absolute_error': 1.3393263910129485}
244,{'mean_absolute_error': 1.2326249467331536},{'mean_absolute_error': 1.3376518666256774}
245,{'mean_absolute_error': 1.2324395552681349},{'mean_absolute_error': 1.3366523418211096}
246,{'mean_absolute_error': 1.2328971640682758},{'mean_absolute_error': 1.3387567637365059}
247,{'mean_absolute_error': 1.2316316673162777},{'mean_absolute_error': 1.3382455503871202}
248,{'mean_absolute_error': 1.2315176206403744},{'mean_absolute_error': 1.336279974787778}
249,{'mean_absolute_error': 1.2314033184949384},{'mean_absolute_error': 1.3344755036431493}
