,train_losses,valid_losses
57,"({'mean_absolute_error': 1.3993912398287838}, {'mean_absolute_error': [2.823164170120632, 1.3112599979368575, 0.06374955142886152]})","({'mean_absolute_error': 1.6738189935980643}, {'mean_absolute_error': [3.6339966961999277, 1.3179739072139762, 0.06948637738028955]})"
58,"({'mean_absolute_error': 1.4568645221455176}, {'mean_absolute_error': [3.0372962537945782, 1.2713433588139087, 0.06195395382806598]})","({'mean_absolute_error': 1.7592638446168092}, {'mean_absolute_error': [3.7825693771221687, 1.4280269407750088, 0.06719521595325029]})"
59,"({'mean_absolute_error': 1.3637544652275209}, {'mean_absolute_error': [2.7647498376424595, 1.2649823092218597, 0.061531248818243504]})","({'mean_absolute_error': 1.6612388895854677}, {'mean_absolute_error': [3.5799367363315016, 1.3369951657024814, 0.06678476672242026]})"
60,"({'mean_absolute_error': 1.4101468535206483}, {'mean_absolute_error': [2.9177850403923897, 1.251321018158294, 0.06133450201126136]})","({'mean_absolute_error': 1.710194289959561}, {'mean_absolute_error': [3.684467485188839, 1.3793861169626773, 0.06672926772716722]})"
61,"({'mean_absolute_error': 1.4475073365311564}, {'mean_absolute_error': [3.0284514049966185, 1.253422308730156, 0.060648295866694096]})","({'mean_absolute_error': 1.725157187423136}, {'mean_absolute_error': [3.748185545127114, 1.3607765644206702, 0.0665094527216237]})"
62,"({'mean_absolute_error': 1.3662548704660704}, {'mean_absolute_error': [2.758264717002496, 1.2785260832478276, 0.061973811147887546]})","({'mean_absolute_error': 1.6489888559657693}, {'mean_absolute_error': [3.552704960624149, 1.3269949632761509, 0.06726664399700741]})"
63,"({'mean_absolute_error': 1.456631880314091}, {'mean_absolute_error': [3.060954868112927, 1.2481027075850568, 0.060838065244289544]})","({'mean_absolute_error': 1.7412782329658498}, {'mean_absolute_error': [3.767667244323211, 1.3896692962496922, 0.06649815832464682]})"
64,"({'mean_absolute_error': 1.3737892767979867}, {'mean_absolute_error': [2.786621095707882, 1.2738758416489862, 0.0608708930370922]})","({'mean_absolute_error': 1.6513266451204842}, {'mean_absolute_error': [3.560404854935906, 1.327290996735763, 0.06628408368978385]})"
65,"({'mean_absolute_error': 1.4063217334761164}, {'mean_absolute_error': [2.9060506135331408, 1.2524499668016247, 0.06046462009358423]})","({'mean_absolute_error': 1.6869814436748136}, {'mean_absolute_error': [3.644118419679554, 1.3508913653452423, 0.0659345459996443]})"
66,"({'mean_absolute_error': 1.3495601599746188}, {'mean_absolute_error': [2.7288013520560823, 1.258637516145383, 0.06124161172239122]})","({'mean_absolute_error': 1.6342311492814552}, {'mean_absolute_error': [3.501623368313371, 1.3350031273781042, 0.06606695215288996]})"
67,"({'mean_absolute_error': 1.3549896734140638}, {'mean_absolute_error': [2.7525924184620316, 1.2516069053700696, 0.06076969641009014]})","({'mean_absolute_error': 1.640322105165212}, {'mean_absolute_error': [3.511587395685851, 1.3432176886461122, 0.06616123116367233]})"
68,"({'mean_absolute_error': 1.3849090679355056}, {'mean_absolute_error': [2.8248517296668183, 1.2680491669539906, 0.061826307185707786]})","({'mean_absolute_error': 1.6523823589580549}, {'mean_absolute_error': [3.5652300766064036, 1.3249894021389637, 0.06692759812879812]})"
69,"({'mean_absolute_error': 1.4081412785996161}, {'mean_absolute_error': [2.913229314685283, 1.2505538617205356, 0.06064065939303015]})","({'mean_absolute_error': 1.6828157748407044}, {'mean_absolute_error': [3.642916242239679, 1.3404956854365853, 0.06503539684584975]})"
70,"({'mean_absolute_error': 1.3592593465169092}, {'mean_absolute_error': [2.759657992260384, 1.2570460448091845, 0.061074002481159316]})","({'mean_absolute_error': 1.6439793829555194}, {'mean_absolute_error': [3.537835586298044, 1.3290795577823884, 0.06502300478612529]})"
71,"({'mean_absolute_error': 1.3562917282045523}, {'mean_absolute_error': [2.7567229151291226, 1.2518721398461716, 0.06028012963836241]})","({'mean_absolute_error': 1.6379264894701508}, {'mean_absolute_error': [3.51388942854567, 1.3350370352826453, 0.06485300458213744]})"
72,"({'mean_absolute_error': 1.350567186697501}, {'mean_absolute_error': [2.732188144765396, 1.2590855354260821, 0.06042787990102598]})","({'mean_absolute_error': 1.6250540491449452}, {'mean_absolute_error': [3.482117420237574, 1.3274825890769093, 0.06556213812035269]})"
73,"({'mean_absolute_error': 1.3859534378876388}, {'mean_absolute_error': [2.8529593727444613, 1.244846751187989, 0.060054189730466445]})","({'mean_absolute_error': 1.6707172842243514}, {'mean_absolute_error': [3.579661375897968, 1.3671167426592745, 0.0653737341158119]})"
74,"({'mean_absolute_error': 1.327649823085982}, {'mean_absolute_error': [2.6470176876329474, 1.2746712236379012, 0.061260557987097446]})","({'mean_absolute_error': 1.606405029290945}, {'mean_absolute_error': [3.4365970010676676, 1.315759591649086, 0.06685849515608122]})"
75,"({'mean_absolute_error': 1.4240511246231609}, {'mean_absolute_error': [2.9677512220169824, 1.2437808969294344, 0.06062125492306539]})","({'mean_absolute_error': 1.6954896255604044}, {'mean_absolute_error': [3.670656346671768, 1.3500813282445958, 0.06573120176484949]})"
76,"({'mean_absolute_error': 1.4543768765830123}, {'mean_absolute_error': [3.0472525668854598, 1.2548382674059702, 0.061039795457606745]})","({'mean_absolute_error': 1.7040417956363239}, {'mean_absolute_error': [3.7279312971852994, 1.318491403198504, 0.06570268652516824]})"
77,"({'mean_absolute_error': 1.389670002238587}, {'mean_absolute_error': [2.862588034337882, 1.2461253524881817, 0.06029661988969806]})","({'mean_absolute_error': 1.664514810636742}, {'mean_absolute_error': [3.590612059111004, 1.3379270316421978, 0.0650053411570246]})"
