,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,(3,50,0.2, 1e-05),,mean rms:
122,2.892505852,7.396081111,1.184786574,0.096649872,3.079422175,7.917754016,1.207018259,0.113494251,,,,,,
123,2.896733881,7.407295881,1.186111746,0.096794015,3.084422212,7.93137614,1.208081929,0.113808568,,,,,,
124,2.892925401,7.396242897,1.185915515,0.09661779,3.079316933,7.916474591,1.207897118,0.113579089,,,,,,
125,2.895554592,7.401809519,1.188247238,0.096607018,3.083706936,7.926078244,1.211611236,0.113431327,,,,,,
126,2.893896827,7.400130271,1.184817245,0.096742964,3.082452748,7.926819173,1.206741466,0.113797603,,,,,,
127,2.892272283,7.396516342,1.183772898,0.096527609,3.078250561,7.915377493,1.205905595,0.113468596,,,,,,
128,2.891285507,7.39375122,1.183615231,0.096490069,3.0791617,7.917393974,1.206643377,0.113447751,,,,,,
129,2.891396539,7.395772285,1.181908647,0.096508684,3.078268211,7.916636163,1.204736037,0.113432433,,,,,,
130,2.892363924,7.399083771,1.181523899,0.096484102,3.079124657,7.919742896,1.204276502,0.113354572,,,,,,
131,2.890632592,7.393792505,1.181674865,0.096430405,3.077057105,7.913394654,1.20440708,0.11336958,,,,,,
132,2.892494228,7.39552888,1.185335249,0.096618556,3.080114035,7.917979627,1.208992907,0.113369573,,,,,,
133,2.894752638,7.40717195,1.18061513,0.096470832,3.081058591,7.926303053,1.2035368,0.113335919,,,,,,
134,2.902228318,7.428726368,1.181384791,0.096573796,3.086308605,7.941240128,1.204268533,0.113417155,,,,,,
135,2.889890554,7.393367872,1.179938041,0.09636575,3.077097628,7.915061335,1.202949458,0.113282091,,,,,,
136,2.889887957,7.394271901,1.179052695,0.096339276,3.078039496,7.918323047,1.202429041,0.113366399,,,,,,
137,2.892030432,7.391149142,1.188613086,0.096329067,3.078799073,7.911849194,1.211162211,0.113385814,,,,,,
138,2.888455426,7.39020091,1.178897705,0.096267663,3.076529214,7.914037835,1.202282423,0.113267383,,,,,,
139,2.893968428,7.404718404,1.180592045,0.096594836,3.083577705,7.933323776,1.203582201,0.113827139,,,,,,
140,2.887510603,7.388614105,1.177661937,0.096255767,3.076396531,7.914542182,1.201424431,0.11322298,,,,,,
141,2.888091557,7.389620571,1.178450418,0.096203681,3.075901182,7.912768522,1.201735607,0.113199415,,,,,,
142,2.895325611,7.411062874,1.178529286,0.096384674,3.084921259,7.938198811,1.203000668,0.113564299,,,,,,
143,2.891601001,7.401855578,1.176477625,0.096469799,3.08195383,7.931895636,1.200265243,0.113700611,,,,,,
144,2.888092517,7.386753211,1.181379835,0.096144504,3.077526684,7.913313556,1.206095656,0.113170839,,,,,,
145,2.889283683,7.395962139,1.175714455,0.096174453,3.079505383,7.925427963,1.199783053,0.113305132,,,,,,
146,2.89154788,7.402897489,1.175257466,0.096488686,3.081062429,7.930129056,1.199347435,0.113710795,,,,,,
147,2.886558022,7.388422107,1.175125154,0.096126806,3.07622052,7.915789246,1.199665526,0.113206788,,,,,,
148,2.887736757,7.390750478,1.176307415,0.096152378,3.077182809,7.91710393,1.201097853,0.113346645,,,,,,
149,2.885531632,7.386157247,1.174349216,0.096088432,3.073525998,7.908801038,1.19869294,0.113084014,,,,,,
150,2.887865412,7.391273158,1.17618593,0.09613715,3.075000657,7.911542018,1.200331616,0.113128337,,,,,,
151,2.887300617,7.392285443,1.173498464,0.096117944,3.077815436,7.922079608,1.198016699,0.113350001,,,,,,
152,2.890588133,7.398070417,1.177355826,0.096338155,3.080853138,7.927915556,1.201034721,0.113609136,,,,,,
153,2.884460496,7.384264917,1.173121833,0.095994737,3.072995045,7.907732843,1.19818648,0.113065812,,,,,,
154,2.885096816,7.38670864,1.172567221,0.096014587,3.073455895,7.909550626,1.197750744,0.113066314,,,,,,
155,2.887470625,7.388846914,1.177635502,0.09592946,3.075326243,7.910973457,1.201943593,0.11306168,,,,,,
156,2.884693428,7.386094566,1.172072534,0.095913184,3.07315955,7.90921662,1.197304831,0.112957199,,,,,,
157,2.883107771,7.382039197,1.17140215,0.095881965,3.072823847,7.908867322,1.196670315,0.112933904,,,,,,
158,2.883508686,7.383553262,1.171119426,0.095853371,3.073236769,7.91006344,1.196639856,0.11300701,,,,,,
159,2.883291353,7.38289477,1.171142907,0.095836382,3.072238923,7.907435563,1.19629704,0.112984165,,,,,,
160,2.888419523,7.39834065,1.170805133,0.096112784,3.075458144,7.917231942,1.196091899,0.113050592,,,,,,
161,2.882289841,7.380770666,1.170302016,0.095796841,3.071944963,7.907491487,1.195443838,0.112899564,,,,,,
162,2.884213917,7.3831761,1.173621856,0.095843794,3.073904296,7.910197046,1.198426908,0.113088934,,,,,,
163,2.882658186,7.38230512,1.169896226,0.095773214,3.072576945,7.909435074,1.195313182,0.112982578,,,,,,
164,2.883474252,7.38451557,1.17017491,0.095732277,3.07248701,7.908867315,1.195695578,0.112898136,,,,,,
165,2.883136965,7.379964703,1.173752332,0.095693861,3.07360134,7.907955455,1.200021825,0.112826738,,,,,,
166,2.884314919,7.388935899,1.168273708,0.095735151,3.07501911,7.917971613,1.194046242,0.113039477,,,,,,
167,2.882623749,7.383577595,1.168492958,0.095800693,3.07151969,7.907057067,1.19469643,0.112805574,,,,,,
168,2.880910965,7.379187927,1.167851473,0.095693495,3.071368617,7.90745664,1.193868798,0.112780412,,,,,,
169,2.881243059,7.379847069,1.168240807,0.095641302,3.071744945,7.908560217,1.193790117,0.112884502,,,,,,
170,2.88063792,7.379192879,1.167117743,0.095603139,3.070891159,7.906720461,1.193120937,0.112832078,,,,,,
171,2.88029564,7.37857565,1.166714686,0.095596585,3.070146612,7.904680162,1.192992397,0.112767276,,,,,,
172,2.882037476,7.378767988,1.171689421,0.095655019,3.072069749,7.906037655,1.197139141,0.113032452,,,,,,
173,2.886735214,7.391568035,1.173075489,0.095562118,3.074994276,7.913622092,1.19858947,0.112771266,,,,,,
174,2.880879595,7.381207936,1.16579036,0.09564049,3.072218272,7.911716701,1.19196387,0.112974245,,,,,,
175,2.880969287,7.379926387,1.167489639,0.095491835,3.070595959,7.905533184,1.193491607,0.112763086,,,,,,
176,2.880292404,7.380120971,1.16528526,0.095470982,3.070150651,7.905891274,1.19180349,0.112757189,,,,,,
177,2.880073738,7.379971809,1.164677608,0.095571795,3.070371801,7.90680582,1.191599911,0.112709672,,,,,,
178,2.882151721,7.381717699,1.169295786,0.095441676,3.071606209,7.906639304,1.195557215,0.112622109,,,,,,
179,2.880035605,7.380170633,1.164520414,0.095415768,3.071480285,7.910365107,1.19138957,0.112686179,,,,,,
180,2.878648851,7.375857241,1.164683333,0.095405978,3.07005979,7.906221999,1.191222633,0.112734737,,,,,,
181,2.882156812,7.38590585,1.165164264,0.095400321,3.071942425,7.911520361,1.191725041,0.112581875,,,,,,
182,2.88025992,7.379796695,1.165581782,0.095401283,3.070498097,7.906579543,1.192279553,0.112635196,,,,,,
183,2.878898902,7.378107836,1.162976886,0.095611985,3.069297889,7.905260986,1.189983983,0.112648699,,,,,,
184,2.87851033,7.375582435,1.164652273,0.095296282,3.070650569,7.907093499,1.192303322,0.112554886,,,,,,
185,2.877879094,7.374511373,1.163860986,0.095264923,3.069612313,7.904727527,1.191511854,0.112597558,,,,,,
186,2.88043069,7.383714292,1.162230098,0.09534768,3.070076218,7.907911695,1.189843443,0.112473516,,,,,,
187,2.877091763,7.374489214,1.161551326,0.095234748,3.067846261,7.901851799,1.189102411,0.112584574,,,,,,
188,2.877954246,7.376609892,1.162000152,0.095252694,3.070686961,7.910052545,1.189379459,0.112628879,,,,,,
189,2.880096771,7.382455915,1.16262206,0.095212338,3.070637504,7.909628901,1.189827217,0.112456394,,,,,,
190,2.877395077,7.376217838,1.160784301,0.095183092,3.069403171,7.90685091,1.188788209,0.112570395,,,,,,
191,2.879295532,7.37651626,1.165883602,0.095486735,3.071736444,7.909108637,1.193060664,0.11304003,,,,,,
192,2.87677126,7.374789112,1.160409671,0.095114997,3.068070534,7.903643704,1.188176032,0.112391866,,,,,,
193,2.876822081,7.373653863,1.161659029,0.095153352,3.068262888,7.902900791,1.1893122,0.112575673,,,,,,
194,2.884985355,7.400244497,1.159588013,0.095123554,3.074590826,7.92381604,1.18760453,0.11235191,,,,,,
195,2.876118831,7.373415882,1.159667575,0.095273035,3.06885102,7.906274822,1.187514608,0.112763631,,,,,,
196,2.875368768,7.371805213,1.159278637,0.095022453,3.067499749,7.902745568,1.187374225,0.112379454,,,,,,
197,2.875691437,7.371782353,1.16012553,0.095166429,3.067503443,7.901062323,1.189080387,0.11236762,,,,,,
198,2.877319237,7.376997455,1.159890806,0.09506945,3.068390293,7.904844075,1.187962845,0.11236396,,,,,,
199,2.879761169,7.377821432,1.166327762,0.095134313,3.072639051,7.911427502,1.193808721,0.11268093,,,,,,
200,2.874692024,7.371341144,1.157798346,0.094936581,3.06739449,7.903341915,1.186481973,0.112359582,,,,,,
201,2.876815964,7.377857609,1.157509116,0.095081168,3.068425457,7.906658249,1.186284039,0.112334083,,,,,,
202,2.875028809,7.371895906,1.158243922,0.094946598,3.067429765,7.90357482,1.186477016,0.11223746,,,,,,
203,2.876171035,7.375465485,1.158055762,0.094991859,3.069546929,7.908862085,1.187265746,0.112512955,,,,,,
204,2.875431918,7.374894749,1.156484575,0.094916432,3.068912614,7.908847078,1.18548938,0.112401382,,,,,,
205,2.873698655,7.369847237,1.15643702,0.094811708,3.066954391,7.903201303,1.185426683,0.112235187,,,,,,
206,2.876346895,7.37748417,1.156729895,0.094826619,3.06800697,7.905999316,1.18590127,0.112120323,,,,,,
207,2.875568776,7.373441122,1.158416668,0.094848537,3.069250712,7.908334165,1.187021396,0.112396574,,,,,,
208,2.873832631,7.370104024,1.15662888,0.094764989,3.067327431,7.904388368,1.185361334,0.112232592,,,,,,
209,2.874260815,7.370586919,1.157468194,0.094727333,3.067354841,7.903497084,1.186356363,0.112211076,,,,,,
210,2.873707687,7.371495333,1.15491823,0.094709499,3.067375965,7.905774437,1.184242548,0.11211091,,,,,,
211,2.875905586,7.371355593,1.161530935,0.094830231,3.069509887,7.904836945,1.191547446,0.112145269,,,,,,
212,2.873298064,7.371083774,1.154028444,0.094781973,3.065462624,7.900679411,1.183657503,0.112050958,,,,,,
213,2.87626617,7.37513891,1.158986064,0.094673536,3.070541303,7.910177415,1.189210506,0.112235987,,,,,,
214,2.872856344,7.370048517,1.153924424,0.094596091,3.066724283,7.904353817,1.183788706,0.112030326,,,,,,
215,2.873065823,7.370375813,1.154164878,0.094656778,3.065719707,7.901438558,1.183739716,0.111980848,,,,,,
216,2.872309438,7.369125491,1.153183381,0.094619444,3.066415171,7.904201269,1.182893076,0.112151169,,,,,,
217,2.871954566,7.36841983,1.152902796,0.094541072,3.065620988,7.901817848,1.183029447,0.112015668,,,,,,
218,2.872007701,7.368904698,1.152603978,0.094514428,3.066572384,7.905024976,1.182685552,0.112006624,,,,,,
219,2.871509855,7.366916296,1.152995948,0.094617321,3.065530148,7.901127508,1.183533338,0.111929598,,,,,,
220,2.875892746,7.376524431,1.156363356,0.094790452,3.070616556,7.913480617,1.185873315,0.112495736,,,,,,
221,2.874260951,7.367777842,1.160571328,0.094433683,3.069579458,7.905414932,1.191340946,0.111982497,,,,,,
222,2.873756148,7.374137482,1.152716316,0.094414646,3.069085424,7.912090667,1.183223915,0.111941689,,,,,,
223,2.871700904,7.369645238,1.151025846,0.094431626,3.065069963,7.901833877,1.181530001,0.11184601,,,,,,
224,2.873438574,7.368161312,1.157760916,0.094393493,3.068714122,7.905566579,1.188608872,0.111966915,,,,,,
225,2.871052468,7.367928137,1.150896317,0.09433295,3.06564364,7.903888436,1.181186646,0.111855839,,,,,,
226,2.870459033,7.366453671,1.150408793,0.094514634,3.065259898,7.902755572,1.180870089,0.112154031,,,,,,
227,2.871007024,7.367300563,1.151414485,0.094306025,3.064899102,7.901021033,1.181840657,0.111835614,,,,,,
228,2.870801647,7.367828395,1.150308834,0.094267712,3.065325841,7.902819975,1.181345567,0.111811982,,,,,,
229,2.870306189,7.367102441,1.149555232,0.094260895,3.064691162,7.901996361,1.180297462,0.111779664,,,,,,
230,2.872446341,7.373650162,1.149393292,0.094295569,3.068798274,7.914399529,1.180070871,0.111924421,,,,,,
231,2.870830119,7.368786759,1.149493975,0.094209623,3.066471825,7.907052062,1.180557032,0.111806382,,,,,,
232,2.870415093,7.368217506,1.148856688,0.094171085,3.064675179,7.902321316,1.179971228,0.111732994,,,,,,
233,2.871251758,7.370503826,1.149125085,0.094126364,3.065174768,7.903865334,1.179971203,0.111687768,,,,,,
234,2.871341583,7.371620291,1.148286077,0.094118381,3.06605869,7.907153011,1.179366122,0.111656939,,,,,,
235,2.869681859,7.367073527,1.147890252,0.094081798,3.065427336,7.905478451,1.179193684,0.111609872,,,,,,
236,2.878721026,7.39416388,1.147775778,0.09422342,3.071514608,7.923792584,1.179178884,0.111572357,,,,,,
237,2.879444497,7.392702997,1.151477288,0.094153206,3.073042448,7.925355445,1.182174559,0.111597341,,,,,,
238,2.877846882,7.375593484,1.163027185,0.094919977,3.072065621,7.908787707,1.195364994,0.112044161,,,,,,
239,2.870404708,7.370175153,1.146883327,0.094155643,3.065017208,7.905134548,1.178317616,0.11159946,,,,,,
240,2.870368229,7.368372439,1.148772125,0.093960123,3.065529655,7.905294386,1.179771526,0.111523052,,,,,,
241,2.868640088,7.365701044,1.146240804,0.093978416,3.065254473,7.906220336,1.177871951,0.11167113,,,,,,
242,2.868422424,7.365182467,1.146165295,0.093919511,3.06507903,7.90580683,1.177955837,0.111474424,,,,,,
