,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
37,{'mean_absolute_error': 2.8882328103856083},{'mean_absolute_error': 3.934665923561681},{'mean_absolute_error': 2.5510433130114283},{'mean_absolute_error': 3.337005735169459},{'mean_absolute_error': 2.9075513165609244},{'mean_absolute_error': 3.8370444129798296}
38,{'mean_absolute_error': 2.5232841861612716},{'mean_absolute_error': 3.634317145673508},{'mean_absolute_error': 2.203405336713502},{'mean_absolute_error': 3.101510204436261},{'mean_absolute_error': 2.9164829712341986},{'mean_absolute_error': 3.8566850734222466}
39,{'mean_absolute_error': 2.4855472736998987},{'mean_absolute_error': 3.5262750184034375},{'mean_absolute_error': 2.826137413655476},{'mean_absolute_error': 3.615036641962923},{'mean_absolute_error': 2.494204930691132},{'mean_absolute_error': 3.4075212768936614}
40,{'mean_absolute_error': 2.462343130097512},{'mean_absolute_error': 3.570259378206128},{'mean_absolute_error': 3.259194320604048},{'mean_absolute_error': 3.999251560519515},{'mean_absolute_error': 2.855516451448486},{'mean_absolute_error': 3.6987682636846246}
41,{'mean_absolute_error': 2.9939559346968583},{'mean_absolute_error': 3.8906157673563735},{'mean_absolute_error': 3.6433455236690695},{'mean_absolute_error': 4.340701260103961},{'mean_absolute_error': 3.9402571977606784},{'mean_absolute_error': 4.536468561732315}
42,{'mean_absolute_error': 2.9669110340621843},{'mean_absolute_error': 3.874949488619787},{'mean_absolute_error': 2.2398913451863804},{'mean_absolute_error': 3.1650957458550386},{'mean_absolute_error': 4.7553623953495086},{'mean_absolute_error': 5.205255973637693}
43,{'mean_absolute_error': 2.5572526788378425},{'mean_absolute_error': 3.712226522060248},{'mean_absolute_error': 2.1750262507699154},{'mean_absolute_error': 3.135763005113456},{'mean_absolute_error': 3.7761320782096526},{'mean_absolute_error': 4.408164671822757}
44,{'mean_absolute_error': 2.9297304733317033},{'mean_absolute_error': 4.059933221724361},{'mean_absolute_error': 2.2542511292441585},{'mean_absolute_error': 3.215706647736506},{'mean_absolute_error': 4.062354308638964},{'mean_absolute_error': 4.628317265536305}
45,{'mean_absolute_error': 2.855541767568707},{'mean_absolute_error': 3.8000123753335244},{'mean_absolute_error': 2.2055326782058193},{'mean_absolute_error': 3.225544376973736},{'mean_absolute_error': 2.6814370213365977},{'mean_absolute_error': 3.553711049922457}
46,{'mean_absolute_error': 2.5177693068063554},{'mean_absolute_error': 3.641074071651665},{'mean_absolute_error': 2.315098568950311},{'mean_absolute_error': 3.32749649196451},{'mean_absolute_error': 2.716665833524765},{'mean_absolute_error': 3.6703160273418636}
47,{'mean_absolute_error': 2.5155989660948403},{'mean_absolute_error': 3.678212242340664},{'mean_absolute_error': 2.410671941798621},{'mean_absolute_error': 3.415255522466968},{'mean_absolute_error': 3.3227787942188303},{'mean_absolute_error': 4.328309575801294}
48,{'mean_absolute_error': 2.5466310581332823},{'mean_absolute_error': 3.7074046598288533},{'mean_absolute_error': 2.2561230879811314},{'mean_absolute_error': 3.3664978915258157},{'mean_absolute_error': 3.511923526705365},{'mean_absolute_error': 4.517466432396136}
49,{'mean_absolute_error': 2.7408432453652263},{'mean_absolute_error': 3.9426546078667424},{'mean_absolute_error': 2.583839535749763},{'mean_absolute_error': 3.6411538128243968},{'mean_absolute_error': 3.3741338934355163},{'mean_absolute_error': 4.384047688831963}
50,{'mean_absolute_error': 2.619274186998065},{'mean_absolute_error': 3.711056890618865},{'mean_absolute_error': 2.4844061470602137},{'mean_absolute_error': 3.566024172206684},{'mean_absolute_error': 3.387578547799937},{'mean_absolute_error': 4.409060887339267}
51,{'mean_absolute_error': 2.811882387905567},{'mean_absolute_error': 4.025539684886533},{'mean_absolute_error': 2.26026181257066},{'mean_absolute_error': 3.396960829344812},{'mean_absolute_error': 3.400655030842749},{'mean_absolute_error': 4.435087078863271}
52,{'mean_absolute_error': 2.73005832920828},{'mean_absolute_error': 3.9449893221731753},{'mean_absolute_error': 2.937736320189015},{'mean_absolute_error': 3.934489443371322},{'mean_absolute_error': 3.5929823452539424},{'mean_absolute_error': 4.624430542239457}
53,{'mean_absolute_error': 2.9198811850045012},{'mean_absolute_error': 4.137595174662613},{'mean_absolute_error': 2.535465775444793},{'mean_absolute_error': 3.611370391876994},{'mean_absolute_error': 2.667316224171229},{'mean_absolute_error': 3.6772549489438986}
54,{'mean_absolute_error': 2.883372123703505},{'mean_absolute_error': 4.099129949224173},{'mean_absolute_error': 2.82217937518678},{'mean_absolute_error': 3.8534639217216937},{'mean_absolute_error': 3.2693909676585236},{'mean_absolute_error': 4.122118047824033}
55,{'mean_absolute_error': 3.2142130733834615},{'mean_absolute_error': 4.438856074591389},{'mean_absolute_error': 2.242699557207821},{'mean_absolute_error': 3.3906644096982705},{'mean_absolute_error': 3.0675782304507715},{'mean_absolute_error': 3.9646254154267093}
56,{'mean_absolute_error': 2.626968946149984},{'mean_absolute_error': 3.7405046240967255},{'mean_absolute_error': 2.278101559764909},{'mean_absolute_error': 3.4496661481775517},{'mean_absolute_error': 2.7094527347054607},{'mean_absolute_error': 3.6578567617340947}
57,{'mean_absolute_error': 2.9516249952270504},{'mean_absolute_error': 3.8625576929689256},{'mean_absolute_error': 2.343568873459995},{'mean_absolute_error': 3.5136136769718735},{'mean_absolute_error': 2.581008168277037},{'mean_absolute_error': 3.5707826841952666}
58,{'mean_absolute_error': 2.724568774389413},{'mean_absolute_error': 3.7285095348669466},{'mean_absolute_error': 2.278543891380236},{'mean_absolute_error': 3.462548937510673},{'mean_absolute_error': 4.0614476178864845},{'mean_absolute_error': 5.087972516769578}
59,{'mean_absolute_error': 2.5634847996893133},{'mean_absolute_error': 3.768053948360637},{'mean_absolute_error': 2.279055631763687},{'mean_absolute_error': 3.4321240926743566},{'mean_absolute_error': 3.343259986635595},{'mean_absolute_error': 4.430142058879285}
60,{'mean_absolute_error': 2.874676929964196},{'mean_absolute_error': 4.09969264227453},{'mean_absolute_error': 2.6261216247447856},{'mean_absolute_error': 3.757324893800631},{'mean_absolute_error': 3.9034516591627413},{'mean_absolute_error': 4.981158120314678}
61,{'mean_absolute_error': 4.981724327570735},{'mean_absolute_error': 6.215202313545843},{'mean_absolute_error': 2.2978425730498033},{'mean_absolute_error': 3.4889179383532163},{'mean_absolute_error': 3.1043381075374423},{'mean_absolute_error': 4.191939105108867}
62,{'mean_absolute_error': 3.4793368024048976},{'mean_absolute_error': 4.678113120446172},{'mean_absolute_error': 2.5798125418291393},{'mean_absolute_error': 3.697014430258781},{'mean_absolute_error': 2.7185582821083853},{'mean_absolute_error': 3.7951696974621814}
63,{'mean_absolute_error': 2.6847177497284336},{'mean_absolute_error': 3.931644189105943},{'mean_absolute_error': 2.3245196799703898},{'mean_absolute_error': 3.544094178001726},{'mean_absolute_error': 2.611181388100931},{'mean_absolute_error': 3.6623345013024102}
64,{'mean_absolute_error': 3.5829289364032837},{'mean_absolute_error': 4.802625732258149},{'mean_absolute_error': 2.384657284218317},{'mean_absolute_error': 3.6259214523093353},{'mean_absolute_error': 3.291342099494955},{'mean_absolute_error': 4.4018144021895935}
65,{'mean_absolute_error': 2.656003588082249},{'mean_absolute_error': 3.9066338996438077},{'mean_absolute_error': 2.3404696796777014},{'mean_absolute_error': 3.583250545248737},{'mean_absolute_error': 2.723531956091804},{'mean_absolute_error': 3.8145791462576124}
