,train_scores_500,valid_scores_500,train_scores_1000,valid_scores_1000,train_scores_5000,valid_scores_5000,train_scores_7000,valid_scores_7000,train_scores_10000,valid_scores_10000,train_scores_15000,valid_scores_15000
23,{'mean_absolute_error': 1.2911613914861189},{'mean_absolute_error': 1.2498895999349788},{'mean_absolute_error': 1.1609869328656686},{'mean_absolute_error': 1.1482997850925034},{'mean_absolute_error': 1.015511829691058},{'mean_absolute_error': 1.0340660674189297},{'mean_absolute_error': 0.9953263930857918},{'mean_absolute_error': 1.111666060126207},{'mean_absolute_error': 0.9905114835200406},{'mean_absolute_error': 1.0051126356520717},{'mean_absolute_error': 1.0288809128032117},{'mean_absolute_error': 1.0491316256322805}
24,{'mean_absolute_error': 1.2798055321631407},{'mean_absolute_error': 1.2222815424892928},{'mean_absolute_error': 1.1333734068693277},{'mean_absolute_error': 1.123845777480914},{'mean_absolute_error': 1.2085143825603843},{'mean_absolute_error': 1.2514927390924422},{'mean_absolute_error': 1.0336776297722576},{'mean_absolute_error': 1.1207897072599535},{'mean_absolute_error': 0.9944064454715836},{'mean_absolute_error': 1.011751925256849},{'mean_absolute_error': 1.0148408711763568},{'mean_absolute_error': 1.0392750294622144}
25,{'mean_absolute_error': 1.2771274683812632},{'mean_absolute_error': 1.2417339895651063},{'mean_absolute_error': 1.1250600455873683},{'mean_absolute_error': 1.1288859209437196},{'mean_absolute_error': 1.1534836769493522},{'mean_absolute_error': 1.1924592486043781},{'mean_absolute_error': 0.9818261971510195},{'mean_absolute_error': 1.0907500015148017},{'mean_absolute_error': 1.0385411880446267},{'mean_absolute_error': 1.057327154745049},{'mean_absolute_error': 0.9939951739790541},{'mean_absolute_error': 1.01733470097873}
26,{'mean_absolute_error': 1.265588848260642},{'mean_absolute_error': 1.2269694387390822},{'mean_absolute_error': 1.4132079724657929},{'mean_absolute_error': 1.4355840931288881},{'mean_absolute_error': 1.0103582795862072},{'mean_absolute_error': 1.0223988383376414},{'mean_absolute_error': 0.9820959071413751},{'mean_absolute_error': 1.0877954875498976},{'mean_absolute_error': 1.0031693780309343},{'mean_absolute_error': 1.0179611017509544},{'mean_absolute_error': 1.0949407911474867},{'mean_absolute_error': 1.1159690248116527}
27,{'mean_absolute_error': 1.25816304090082},{'mean_absolute_error': 1.2279956339978233},{'mean_absolute_error': 1.2045464902581784},{'mean_absolute_error': 1.2367363743061532},{'mean_absolute_error': 1.0092993305678275},{'mean_absolute_error': 1.0347719641209632},{'mean_absolute_error': 0.9838900289826036},{'mean_absolute_error': 1.0867605441829458},{'mean_absolute_error': 1.005478696511646},{'mean_absolute_error': 1.0195146136279725},{'mean_absolute_error': 0.9940135578640602},{'mean_absolute_error': 1.0186028735132968}
28,{'mean_absolute_error': 1.2703149911702167},{'mean_absolute_error': 1.2653047948709661},{'mean_absolute_error': 1.084227213404573},{'mean_absolute_error': 1.102005557375592},{'mean_absolute_error': 1.0036788615660681},{'mean_absolute_error': 1.018752691480063},{'mean_absolute_error': 0.995149995826848},{'mean_absolute_error': 1.0915948537651734},{'mean_absolute_error': 0.9870793791275184},{'mean_absolute_error': 1.0064291638948328},{'mean_absolute_error': 1.0231090305000532},{'mean_absolute_error': 1.0505213073676851}
29,{'mean_absolute_error': 1.2372824775210252},{'mean_absolute_error': 1.1796411291711013},{'mean_absolute_error': 1.1450875351845426},{'mean_absolute_error': 1.156244411953662},{'mean_absolute_error': 1.2101144551576901},{'mean_absolute_error': 1.259711649585389},{'mean_absolute_error': 1.0243387687174923},{'mean_absolute_error': 1.130960384484701},{'mean_absolute_error': 0.9878059809140475},{'mean_absolute_error': 1.0099306984650493},{'mean_absolute_error': 1.0021569755801962},{'mean_absolute_error': 1.0300848758198813}
30,{'mean_absolute_error': 1.23963589024404},{'mean_absolute_error': 1.2411696475698446},{'mean_absolute_error': 1.0748171551744878},{'mean_absolute_error': 1.124798112838061},{'mean_absolute_error': 1.0580518764265705},{'mean_absolute_error': 1.0964971666649026},{'mean_absolute_error': 1.0728538144727844},{'mean_absolute_error': 1.2024519314380482},{'mean_absolute_error': 0.9992127857831098},{'mean_absolute_error': 1.0261268119803137},{'mean_absolute_error': 1.0218558400827373},{'mean_absolute_error': 1.0516710119080694}
31,{'mean_absolute_error': 1.215583229834767},{'mean_absolute_error': 1.1703155380429473},{'mean_absolute_error': 1.0585639944512872},{'mean_absolute_error': 1.1043919966489784},{'mean_absolute_error': 1.0119196649880478},{'mean_absolute_error': 1.024627544488766},{'mean_absolute_error': 0.974694174753195},{'mean_absolute_error': 1.0980314502722188},{'mean_absolute_error': 1.0370971022063051},{'mean_absolute_error': 1.0626571278867396},{'mean_absolute_error': 1.023086598966532},{'mean_absolute_error': 1.0479192639151558}
32,{'mean_absolute_error': 1.273283416684598},{'mean_absolute_error': 1.3003284438282783},{'mean_absolute_error': 1.0643596823727604},{'mean_absolute_error': 1.138955419471591},{'mean_absolute_error': 1.033710618715895},{'mean_absolute_error': 1.0726093545369613},{'mean_absolute_error': 1.0657678392785201},{'mean_absolute_error': 1.1974521980670165},{'mean_absolute_error': 0.9873195834912033},{'mean_absolute_error': 1.0124897680010507},{'mean_absolute_error': 1.0028945615235514},{'mean_absolute_error': 1.0260648288503467}
