,train_losses,valid_losses
121,{'mean_absolute_error': 0.7148007092665617},{'mean_absolute_error': 1.3771289821751385}
122,{'mean_absolute_error': 0.7139811353392759},{'mean_absolute_error': 1.3947062323668606}
123,{'mean_absolute_error': 0.6902245512194244},{'mean_absolute_error': 1.353657141363426}
124,{'mean_absolute_error': 0.6912736622559944},{'mean_absolute_error': 1.3634704186246995}
125,{'mean_absolute_error': 0.6872538447324367},{'mean_absolute_error': 1.3445133030111194}
126,{'mean_absolute_error': 0.6753082529366327},{'mean_absolute_error': 1.3421850281068644}
127,{'mean_absolute_error': 0.6768923523129178},{'mean_absolute_error': 1.375956357647478}
128,{'mean_absolute_error': 0.6819602365166613},{'mean_absolute_error': 1.4096230850553357}
129,{'mean_absolute_error': 0.6793035508634826},{'mean_absolute_error': 1.396519996076217}
130,{'mean_absolute_error': 0.6750727709910282},{'mean_absolute_error': 1.3619770720910622}
131,{'mean_absolute_error': 0.6821238337880965},{'mean_absolute_error': 1.4068601625797463}
132,{'mean_absolute_error': 0.7397056997487078},{'mean_absolute_error': 1.4483465343128716}
133,{'mean_absolute_error': 0.6932225650753452},{'mean_absolute_error': 1.3729720403673098}
134,{'mean_absolute_error': 0.6728081743239103},{'mean_absolute_error': 1.3760413476632742}
135,{'mean_absolute_error': 0.6535201551714601},{'mean_absolute_error': 1.3938078294712326}
136,{'mean_absolute_error': 0.6668702527864511},{'mean_absolute_error': 1.3820900467937463}
137,{'mean_absolute_error': 0.6558250656114825},{'mean_absolute_error': 1.4190466857558162}
138,{'mean_absolute_error': 0.6323497842428404},{'mean_absolute_error': 1.3782528894413864}
139,{'mean_absolute_error': 0.6204749537645123},{'mean_absolute_error': 1.3765986421906091}
140,{'mean_absolute_error': 0.6284763594088681},{'mean_absolute_error': 1.3951276171495082}
141,{'mean_absolute_error': 0.6378482175152014},{'mean_absolute_error': 1.3821710243655216}
142,{'mean_absolute_error': 0.6323158174088663},{'mean_absolute_error': 1.3896880477407132}
143,{'mean_absolute_error': 0.6244049775024102},{'mean_absolute_error': 1.384935185684497}
144,{'mean_absolute_error': 0.6193131756849962},{'mean_absolute_error': 1.3740457625872744}
145,{'mean_absolute_error': 0.6201979898768664},{'mean_absolute_error': 1.4043735261142745}
146,{'mean_absolute_error': 0.6627103420444845},{'mean_absolute_error': 1.394423090321385}
147,{'mean_absolute_error': 0.6321357386609633},{'mean_absolute_error': 1.3511109626201891}
148,{'mean_absolute_error': 0.6497291613326374},{'mean_absolute_error': 1.3408143370283676}
149,{'mean_absolute_error': 0.65680878615273},{'mean_absolute_error': 1.3661104914555227}
150,{'mean_absolute_error': 0.6252645548564106},{'mean_absolute_error': 1.3900177403461462}
151,{'mean_absolute_error': 0.6361412647879334},{'mean_absolute_error': 1.3976345301366555}
152,{'mean_absolute_error': 0.6358098468614005},{'mean_absolute_error': 1.4001017032144347}
153,{'mean_absolute_error': 0.6232068951387447},{'mean_absolute_error': 1.3688999753278281}
154,{'mean_absolute_error': 0.6103193267325664},{'mean_absolute_error': 1.3811431887634842}
155,{'mean_absolute_error': 0.6107999263797653},{'mean_absolute_error': 1.3889679759806248}
156,{'mean_absolute_error': 0.6220754665618274},{'mean_absolute_error': 1.419405493626573}
157,{'mean_absolute_error': 0.6147540136079135},{'mean_absolute_error': 1.3944835180377952}
158,{'mean_absolute_error': 0.6205980013569677},{'mean_absolute_error': 1.3672398707895632}
159,{'mean_absolute_error': 0.5911278195144888},{'mean_absolute_error': 1.4057155697101837}
160,{'mean_absolute_error': 0.6006560719630268},{'mean_absolute_error': 1.4250256580355576}
161,{'mean_absolute_error': 0.6192931406111074},{'mean_absolute_error': 1.4348830642815125}
162,{'mean_absolute_error': 0.6179316461840234},{'mean_absolute_error': 1.4132642810416014}
163,{'mean_absolute_error': 0.6176994740774303},{'mean_absolute_error': 1.388900184387446}
164,{'mean_absolute_error': 0.6249653027010517},{'mean_absolute_error': 1.3795453884997635}
165,{'mean_absolute_error': 0.601107186964275},{'mean_absolute_error': 1.3939132826063634}
166,{'mean_absolute_error': 0.5980130889193258},{'mean_absolute_error': 1.417181805780097}
167,{'mean_absolute_error': 0.6267208552741145},{'mean_absolute_error': 1.4013943830943276}
168,{'mean_absolute_error': 0.5950867163946734},{'mean_absolute_error': 1.4170133386860548}
169,{'mean_absolute_error': 0.5833739829966295},{'mean_absolute_error': 1.407185737027961}
170,{'mean_absolute_error': 0.5859485275092434},{'mean_absolute_error': 1.3707152468282384}
171,{'mean_absolute_error': 0.5835122860136611},{'mean_absolute_error': 1.406851567568011}
172,{'mean_absolute_error': 0.598893356357229},{'mean_absolute_error': 1.4397062745336455}
173,{'mean_absolute_error': 0.5780590213286726},{'mean_absolute_error': 1.4255817373736417}
174,{'mean_absolute_error': 0.5804847345242631},{'mean_absolute_error': 1.4470149524263887}
175,{'mean_absolute_error': 0.6096138443216087},{'mean_absolute_error': 1.4871385089626414}
176,{'mean_absolute_error': 0.6060230334647726},{'mean_absolute_error': 1.465084540924042}
177,{'mean_absolute_error': 0.5756047321350812},{'mean_absolute_error': 1.4318739016502053}
178,{'mean_absolute_error': 0.5966169048322475},{'mean_absolute_error': 1.4515973620343863}
179,{'mean_absolute_error': 0.6150679420506193},{'mean_absolute_error': 1.4363517445272773}
180,{'mean_absolute_error': 0.5506035418573192},{'mean_absolute_error': 1.3936051921527022}
181,{'mean_absolute_error': 0.5627638374851317},{'mean_absolute_error': 1.4174744376738857}
182,{'mean_absolute_error': 0.6176103443347495},{'mean_absolute_error': 1.413628760334447}
183,{'mean_absolute_error': 0.5735918218316055},{'mean_absolute_error': 1.3649228588589608}
184,{'mean_absolute_error': 0.5820580201644185},{'mean_absolute_error': 1.3805901875315374}
185,{'mean_absolute_error': 0.5761321870547833},{'mean_absolute_error': 1.4137157337086124}
186,{'mean_absolute_error': 0.5774679233559981},{'mean_absolute_error': 1.4263238156498905}
187,{'mean_absolute_error': 0.5694422701799976},{'mean_absolute_error': 1.3984588639541438}
188,{'mean_absolute_error': 0.5708415603239801},{'mean_absolute_error': 1.382985042247838}
189,{'mean_absolute_error': 0.5551799134513605},{'mean_absolute_error': 1.3849547156629631}
190,{'mean_absolute_error': 0.5665952361142036},{'mean_absolute_error': 1.3987575421529457}
191,{'mean_absolute_error': 0.6246109722002626},{'mean_absolute_error': 1.4565858066504793}
192,{'mean_absolute_error': 0.5877312982028065},{'mean_absolute_error': 1.4486996389647595}
193,{'mean_absolute_error': 0.5971801870759541},{'mean_absolute_error': 1.4394164308526365}
194,{'mean_absolute_error': 0.5665444979486969},{'mean_absolute_error': 1.4284951982428107}
195,{'mean_absolute_error': 0.5461914546533139},{'mean_absolute_error': 1.3796376961955437}
196,{'mean_absolute_error': 0.5309519254046051},{'mean_absolute_error': 1.3878582960302774}
197,{'mean_absolute_error': 0.5246582994133197},{'mean_absolute_error': 1.416234912321409}
198,{'mean_absolute_error': 0.5224947215910483},{'mean_absolute_error': 1.412835389427562}
199,{'mean_absolute_error': 0.5290517923323397},{'mean_absolute_error': 1.4205782349937983}
200,{'mean_absolute_error': 0.5242085854433068},{'mean_absolute_error': 1.407664548626072}
201,{'mean_absolute_error': 0.5129639393553878},{'mean_absolute_error': 1.440267620673471}
