id, FailedMolecules, FailedReason, smiles, eiso
99, 316163, Negativeisomerization, COc1cccc(\N=N/c2c(F)ccc(-c3ccccc3)c2F)c1C(=O)O, -18.17792673
100, 304342, Negativeisomerization, COc1ccc(\N=N/c2cc(C#N)c(F)cc2-c2ccccc2)c(C(=O)O)c1, -0.82482967
101, 1050734, Negativeisomerization, COc1ccc(-c2ccccc2)c(\N=N/c2cc(OC)c(C#N)cc2-c2ccccc2)c1, -1.705197654
102, 770553, Negativeisomerization, N#Cc1cc(F)cc(\N=N/c2cc(-c3ccccc3)ccc2C(=O)O)c1F, -1.084616186
103, 1061500, Negativeisomerization, COc1c(\N=N/c2c(C)ccc(C)c2-c2ccccc2)cccc1-c1ccccc1, -0.743413387
104, 17818, Negativeisomerization, COc1cccc(\N=N/c2ccc(C#N)c(C#N)c2C(=O)O)c1, -1.199992202
105, 1143529, Negativeisomerization, Cc1c(\N=N/c2cc(-c3ccccc3)ccc2C(=O)O)ccc(C(=O)O)c1-c1ccccc1, -0.134804902
106, 200623, Negativeisomerization, COc1cccc(\N=N/c2cc(OC)c(C(=O)O)c(OC)c2)c1OC, -0.469857941
107, 790187, Negativeisomerization, COc1cc(\N=N/c2cc(C(=O)O)ccc2-c2ccccc2)c(C(=O)O)cc1OC, -1.193924077
108, 818502, Negativeisomerization, Cc1cccc(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)c1F, -1.016424607
109, 688147, Negativeisomerization, N#Cc1ccc(\N=N/c2cccc(C(=O)O)c2C(=O)O)c(C(=O)O)c1C#N, -0.520743118
110, 934348, Negativeisomerization, Cc1ccc(C(=O)O)cc1\N=N/c1c(C)ccc(C#N)c1C(=O)O, -2.272254447
111, 955822, Negativeisomerization, COc1c(F)ccc(-c2ccccc2)c1\N=N/c1cccc(C(=O)O)c1C, -0.705099842
112, 876538, Negativeisomerization, N#Cc1cc(C(=O)O)ccc1\N=N/c1ccc(-c2ccccc2)c(F)c1C(=O)O, -0.378645581
113, 1028898, Negativeisomerization, COc1c(C)ccc(C)c1\N=N/c1cccc(C(=O)O)c1F, -1.634502633
114, 308066, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2c(C(=O)O)cc(C(=O)O)cc2-c2ccccc2)c1, -0.896694779
115, 744275, Negativeisomerization, COc1c(\N=N/c2cccc(C(=O)O)c2C(=O)O)cc(-c2ccccc2)cc1-c1ccccc1, -1.301381598
116, 755812, Negativeisomerization, Cc1ccc(\N=N/c2cccc(C(=O)O)c2C(=O)O)c(F)c1C#N, -1.291449464
117, 630133, Negativeisomerization, COc1cccc(C(=O)O)c1\N=N/c1cc(C(=O)O)cc(OC)c1-c1ccccc1, -2.224743474
118, 730066, Negativeisomerization, COc1c(C#N)ccc(-c2ccccc2)c1\N=N/c1ccc(C(=O)O)c(C(=O)O)c1, -2.707173048
119, 1143405, Negativeisomerization, N#Cc1cc(C(=O)O)c(\N=N/c2cc(-c3ccccc3)ccc2C(=O)O)c(-c2ccccc2)c1, -1.012751078
120, 1068121, Negativeisomerization, COc1cc(\N=N/c2ccc(OC)c(OC)c2C)cc(-c2ccccc2)c1, -0.013741719
121, 1185395, Negativeisomerization, Cc1c(C(=O)O)ccc(C(=O)O)c1\N=N/c1ccc(-c2ccccc2)cc1-c1ccccc1, -2.418297626
122, 1125222, Negativeisomerization, O=C(O)c1cccc(-c2ccccc2)c1\N=N/c1ccc(C(=O)O)c(C(=O)O)c1-c1ccccc1, -1.593032574
123, 1186843, Negativeisomerization, Cc1cc(C#N)c(-c2ccccc2)c(\N=N/c2ccc(-c3ccccc3)cc2-c2ccccc2)c1, -0.370563818
124, 806784, Negativeisomerization, N#Cc1ccc(\N=N/c2ccc(C(=O)O)cc2-c2ccccc2)c(C(=O)O)c1-c1ccccc1, -2.132959676
125, 705753, Negativeisomerization, O=C(O)c1cc(F)c(\N=N/c2cccc(C(=O)O)c2C(=O)O)c(C(=O)O)c1, -0.399298977
126, 963043, Negativeisomerization, Cc1cccc(C(=O)O)c1\N=N/c1cc(-c2ccccc2)cc(C)c1-c1ccccc1, -0.32068546
127, 682402, Negativeisomerization, COc1cccc(\N=N/c2ccc(C(=O)O)c(F)c2C(=O)O)c1C(=O)O, -2.03853638
128, 458196, Negativeisomerization, COc1cccc(\N=N/c2cc(-c3ccccc3)cc(-c3ccccc3)c2C)c1C#N, -1.616543159
129, 867891, Negativeisomerization, N#Cc1cc(C(=O)O)ccc1\N=N/c1cc(F)c(F)cc1-c1ccccc1, -0.417911523
130, 700922, Negativeisomerization, O=C(O)c1cc(C(=O)O)c(\N=N/c2c(C(=O)O)cccc2C(=O)O)c(C(=O)O)c1, -3.729937893
131, 774190, Negativeisomerization, COc1cc(C)cc(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)c1C, -0.151594289
132, 429526, Negativeisomerization, COc1cc(C#N)cc(\N=N/c2ccc(-c3ccccc3)c(OC)c2C)c1, -0.758216348
133, 713348, Negativeisomerization, N#Cc1cc(\N=N/c2ccc(C(=O)O)c(C(=O)O)c2)cc(F)c1C(=O)O, -0.502266629
134, 1187790, Negativeisomerization, COc1cc(F)cc(\N=N/c2ccc(-c3ccccc3)cc2-c2ccccc2)c1C(=O)O, -1.785552696
135, 916728, Negativeisomerization, Cc1cccc(C(=O)O)c1\N=N/c1cc(-c2ccccc2)cc(F)c1C(=O)O, -0.694079256
