,train_losses,valid_losses
96,{'mean_absolute_error': 1.223183307615285},{'mean_absolute_error': 1.1827955040207163}
97,{'mean_absolute_error': 1.228589063512401},{'mean_absolute_error': 1.1515277175205139}
98,{'mean_absolute_error': 1.2067645864476915},{'mean_absolute_error': 1.1967864265417265}
99,{'mean_absolute_error': 1.2693268477173216},{'mean_absolute_error': 1.139241134475613}
100,{'mean_absolute_error': 1.2174900656264915},{'mean_absolute_error': 1.190936617371555}
101,{'mean_absolute_error': 1.2150984430509706},{'mean_absolute_error': 1.2111937102311305}
102,{'mean_absolute_error': 1.2469007937053735},{'mean_absolute_error': 1.1211438081333938}
103,{'mean_absolute_error': 1.2053854526394245},{'mean_absolute_error': 1.1894060614980568}
104,{'mean_absolute_error': 1.2390735540035993},{'mean_absolute_error': 1.1295214572678027}
105,{'mean_absolute_error': 1.2058214663385949},{'mean_absolute_error': 1.1939826866458696}
106,{'mean_absolute_error': 1.24298198625281},{'mean_absolute_error': 1.1501856471739123}
107,{'mean_absolute_error': 1.2071009477201762},{'mean_absolute_error': 1.178742553667628}
108,{'mean_absolute_error': 1.2435350181103269},{'mean_absolute_error': 1.1339510047877281}
109,{'mean_absolute_error': 1.2005783860415544},{'mean_absolute_error': 1.165132914785862}
110,{'mean_absolute_error': 1.2430690037608465},{'mean_absolute_error': 1.125197121344239}
111,{'mean_absolute_error': 1.2016427034888535},{'mean_absolute_error': 1.1825491039980898}
112,{'mean_absolute_error': 1.2393309531582113},{'mean_absolute_error': 1.1188777319652554}
113,{'mean_absolute_error': 1.1929945874463694},{'mean_absolute_error': 1.1817247814073872}
114,{'mean_absolute_error': 1.2475881958183639},{'mean_absolute_error': 1.1319191807883038}
115,{'mean_absolute_error': 1.2141548778321107},{'mean_absolute_error': 1.2601267030937833}
116,{'mean_absolute_error': 1.2389915089276535},{'mean_absolute_error': 1.129389461055164}
117,{'mean_absolute_error': 1.2041807236640045},{'mean_absolute_error': 1.1301603832955331}
118,{'mean_absolute_error': 1.1873587398898091},{'mean_absolute_error': 1.1826249545913263}
119,{'mean_absolute_error': 1.1927043478979917},{'mean_absolute_error': 1.1537100503548972}
120,{'mean_absolute_error': 1.1937822842416763},{'mean_absolute_error': 1.1371561868108702}
121,{'mean_absolute_error': 1.210808671683241},{'mean_absolute_error': 1.1176714480268921}
122,{'mean_absolute_error': 1.1963484027655378},{'mean_absolute_error': 1.192702471243516}
123,{'mean_absolute_error': 1.2354655203723601},{'mean_absolute_error': 1.134859268063543}
124,{'mean_absolute_error': 1.1929555349221685},{'mean_absolute_error': 1.171106474193281}
125,{'mean_absolute_error': 1.1980715849826853},{'mean_absolute_error': 1.1505880310416337}
126,{'mean_absolute_error': 1.192766321387767},{'mean_absolute_error': 1.189474131959881}
