,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,(3,2048, [256,512, 1024],0.6, 1e-05)
123,2.85038774,7.365014777,1.088297007,0.097851434,3.061216345,7.993281258,1.095146835,0.095220941,,,,,,,,,
124,2.848036665,7.358467061,1.08793743,0.097705505,3.059615765,7.988682236,1.095039724,0.095125335,,,,,,,,,
125,2.849586149,7.363070216,1.087893857,0.097794374,3.060464152,7.991601173,1.094624478,0.095166804,,,,,,,,,
126,2.847535109,7.35730289,1.087662219,0.097640218,3.059096757,7.987578496,1.094645435,0.095066341,,,,,,,,,
127,2.847974335,7.358674558,1.087548183,0.097700263,3.059313315,7.988136292,1.094715325,0.095088328,,,,,,,,,
128,2.84758537,7.359415022,1.085771957,0.097569132,3.058745001,7.988280008,1.09295495,0.095000044,,,,,,,,,
129,2.848416015,7.360636864,1.086997345,0.097613834,3.059302177,7.989086859,1.093799048,0.095020623,,,,,,,,,
130,2.846589808,7.355878479,1.086316676,0.097574269,3.058132277,7.985620115,1.093786588,0.094990129,,,,,,,,,
131,2.847288632,7.357254357,1.087120785,0.097490754,3.058741047,7.986420122,1.094866499,0.094936518,,,,,,,,,
132,2.845951702,7.355618798,1.084821326,0.097414983,3.0573661,7.985461028,1.091759791,0.094877481,,,,,,,,,
133,2.845560025,7.353880338,1.085433132,0.097366605,3.057426704,7.984098237,1.093332891,0.094848984,,,,,,,,,
134,2.846361283,7.356481692,1.085222543,0.097379613,3.057881008,7.985827137,1.092975624,0.094840261,,,,,,,,,
135,2.844492893,7.351028125,1.085142308,0.097308247,3.056327355,7.982263468,1.091916946,0.094801651,,,,,,,,,
136,2.844695749,7.352370236,1.084406985,0.097310024,3.056210489,7.982529854,1.091327732,0.094773883,,,,,,,,,
137,2.844165793,7.351612159,1.083642196,0.097243024,3.055954898,7.981618613,1.091502203,0.094743879,,,,,,,,,
138,2.843421162,7.350048559,1.082987909,0.097227017,3.055408327,7.980845384,1.0906663,0.094713297,,,,,,,,,
139,2.843316289,7.34994928,1.082831362,0.097168226,3.055192943,7.980716262,1.090184606,0.094677961,,,,,,,,,
140,2.8431936,7.349577085,1.082861491,0.097142224,3.055071895,7.979720883,1.090804804,0.094689998,,,,,,,,,
141,2.843034717,7.349047917,1.082938037,0.097118198,3.054600821,7.978999888,1.090166959,0.094635618,,,,,,,,,
142,2.842621015,7.347324915,1.083453577,0.097084553,3.054721136,7.977753953,1.09179144,0.094618015,,,,,,,,,
143,2.843112388,7.349110724,1.083137139,0.097089301,3.054990005,7.978622598,1.09173717,0.094610249,,,,,,,,,
144,2.843282142,7.349865555,1.082913328,0.097067543,3.055021446,7.979092577,1.091382509,0.094589253,,,,,,,,,
145,2.840756235,7.34402472,1.081200233,0.097043752,3.053044904,7.975179557,1.08939577,0.094559384,,,,,,,,,
146,2.840981835,7.34475734,1.081213761,0.096974405,3.052907246,7.975384759,1.088813205,0.094523775,,,,,,,,,
147,2.841207885,7.345063953,1.08156891,0.096990792,3.052966646,7.975167119,1.089218357,0.094514461,,,,,,,,,
148,2.839368244,7.340306228,1.08080779,0.096990714,3.051651536,7.971745149,1.088711196,0.094498262,,,,,,,,,
149,2.839922895,7.342002267,1.080861775,0.096904642,3.052020606,7.972576342,1.08902708,0.094458396,,,,,,,,,
150,2.839936148,7.34244397,1.080500656,0.096863819,3.051895246,7.972938825,1.088297493,0.09444942,,,,,,,,,
