,train_scores,valid_scores
116,{'mean_absolute_error': 0.7228140857682308},{'mean_absolute_error': 1.030830263490911}
117,{'mean_absolute_error': 0.7251225907408081},{'mean_absolute_error': 1.000270762809484}
118,{'mean_absolute_error': 0.7919163884107393},{'mean_absolute_error': 1.0531659924591648}
119,{'mean_absolute_error': 0.7138086294930145},{'mean_absolute_error': 1.065062417740532}
120,{'mean_absolute_error': 0.7267663846307432},{'mean_absolute_error': 1.0790897465813036}
121,{'mean_absolute_error': 0.8012371668796203},{'mean_absolute_error': 1.0067889869667563}
122,{'mean_absolute_error': 0.7688922350995347},{'mean_absolute_error': 1.0366269658762353}
123,{'mean_absolute_error': 0.7433212013435925},{'mean_absolute_error': 1.1807109599443157}
124,{'mean_absolute_error': 0.7385116568487039},{'mean_absolute_error': 1.089718198406125}
125,{'mean_absolute_error': 0.7649975483527812},{'mean_absolute_error': 1.1150409543333955}
126,{'mean_absolute_error': 0.7007043705847374},{'mean_absolute_error': 1.08560125849263}
127,{'mean_absolute_error': 0.727084630597055},{'mean_absolute_error': 1.0687425697374613}
128,{'mean_absolute_error': 0.7103508743592452},{'mean_absolute_error': 1.0248965277735405}
129,{'mean_absolute_error': 0.7212415336610216},{'mean_absolute_error': 1.1122066236388217}
130,{'mean_absolute_error': 0.7728325590782653},{'mean_absolute_error': 1.039975376174975}
131,{'mean_absolute_error': 0.7004432538063893},{'mean_absolute_error': 1.0470240643337252}
132,{'mean_absolute_error': 0.6975199422224764},{'mean_absolute_error': 1.0495555301527515}
133,{'mean_absolute_error': 0.745558071067491},{'mean_absolute_error': 1.1511113595765716}
134,{'mean_absolute_error': 0.7155643853538054},{'mean_absolute_error': 1.0677530710068444}
135,{'mean_absolute_error': 0.7413815598905722},{'mean_absolute_error': 1.0665362084789531}
136,{'mean_absolute_error': 0.693233571550738},{'mean_absolute_error': 1.0705575193633785}
137,{'mean_absolute_error': 0.6776729554779916},{'mean_absolute_error': 1.1155261411208854}
138,{'mean_absolute_error': 0.7007561258423874},{'mean_absolute_error': 1.119185540111049}
139,{'mean_absolute_error': 0.6968028047546534},{'mean_absolute_error': 1.0874084536505944}
140,{'mean_absolute_error': 0.7464728166492621},{'mean_absolute_error': 1.0882744264642041}
141,{'mean_absolute_error': 0.6744704591255332},{'mean_absolute_error': 1.099834388965677}
142,{'mean_absolute_error': 0.6766701492746469},{'mean_absolute_error': 1.1071876273742538}
143,{'mean_absolute_error': 0.6639034039782515},{'mean_absolute_error': 1.0900393521542802}
144,{'mean_absolute_error': 0.6699064749344128},{'mean_absolute_error': 1.1195579065443255}
145,{'mean_absolute_error': 0.6956312589773606},{'mean_absolute_error': 1.1344768762454995}
146,{'mean_absolute_error': 0.6540140625462463},{'mean_absolute_error': 1.120771498784266}
147,{'mean_absolute_error': 0.6816081673100379},{'mean_absolute_error': 1.0575551811241986}
148,{'mean_absolute_error': 0.7107688003298636},{'mean_absolute_error': 1.0466036703630157}
149,{'mean_absolute_error': 0.6732457492572873},{'mean_absolute_error': 1.1027822968205183}
150,{'mean_absolute_error': 0.6639997485179502},{'mean_absolute_error': 1.1042515209321135}
151,{'mean_absolute_error': 0.663901342776341},{'mean_absolute_error': 1.1124229033077417}
152,{'mean_absolute_error': 0.6649449070667744},{'mean_absolute_error': 1.144791030145414}
153,{'mean_absolute_error': 0.7143937959726223},{'mean_absolute_error': 1.1222552522395215}
154,{'mean_absolute_error': 0.6590568324657676},{'mean_absolute_error': 1.086267800313768}
155,{'mean_absolute_error': 0.6711736502613043},{'mean_absolute_error': 1.1410872061674213}
156,{'mean_absolute_error': 0.6946864538712436},{'mean_absolute_error': 1.0391622454895673}
157,{'mean_absolute_error': 0.6695318245575365},{'mean_absolute_error': 1.1006202105301877}
158,{'mean_absolute_error': 0.6786777340564729},{'mean_absolute_error': 1.1684306222301815}
159,{'mean_absolute_error': 0.6511678395030094},{'mean_absolute_error': 1.0769084145583108}
160,{'mean_absolute_error': 0.6887487277635129},{'mean_absolute_error': 1.1132102276848446}
161,{'mean_absolute_error': 0.6753889751984192},{'mean_absolute_error': 1.0128704931615828}
162,{'mean_absolute_error': 0.6524027237005011},{'mean_absolute_error': 1.0643838136942116}
163,{'mean_absolute_error': 0.6244637183094757},{'mean_absolute_error': 1.0982374180836496}
164,{'mean_absolute_error': 0.6474801325996612},{'mean_absolute_error': 1.0824678744582379}
165,{'mean_absolute_error': 0.6796189336933258},{'mean_absolute_error': 1.0528298374812475}
166,{'mean_absolute_error': 0.6297995161281592},{'mean_absolute_error': 1.067361095292374}
167,{'mean_absolute_error': 0.6627923889329294},{'mean_absolute_error': 1.0701170919862915}
168,{'mean_absolute_error': 0.6280766952419595},{'mean_absolute_error': 1.092198305761322}
169,{'mean_absolute_error': 0.6474497139015768},{'mean_absolute_error': 1.109368961594711}
170,{'mean_absolute_error': 0.6568258285716494},{'mean_absolute_error': 1.0972542505362992}
171,{'mean_absolute_error': 0.6345639993460453},{'mean_absolute_error': 1.0895524402502246}
172,{'mean_absolute_error': 0.6771591168169621},{'mean_absolute_error': 1.1282466824978292}
173,{'mean_absolute_error': 0.6248749817784275},{'mean_absolute_error': 1.1696690955183824}
174,{'mean_absolute_error': 0.6478789469110687},{'mean_absolute_error': 1.1953794124027906}
175,{'mean_absolute_error': 0.6655213990666969},{'mean_absolute_error': 1.0796833562187877}
176,{'mean_absolute_error': 0.6351035574919789},{'mean_absolute_error': 1.137204515579149}
177,{'mean_absolute_error': 0.6555210156283765},{'mean_absolute_error': 1.1558260691547744}
178,{'mean_absolute_error': 0.6346460837806848},{'mean_absolute_error': 1.0788916219258204}
179,{'mean_absolute_error': 0.6499470111021203},{'mean_absolute_error': 1.0673240501341648}
180,{'mean_absolute_error': 0.6750914894967391},{'mean_absolute_error': 1.0952647318526678}
181,{'mean_absolute_error': 0.6328911601460084},{'mean_absolute_error': 1.053765025582887}
182,{'mean_absolute_error': 0.665131967201693},{'mean_absolute_error': 1.0577458049690842}
183,{'mean_absolute_error': 0.6227196986807545},{'mean_absolute_error': 1.0861511409527476}
184,{'mean_absolute_error': 0.6170544566124573},{'mean_absolute_error': 1.0854687230848798}
185,{'mean_absolute_error': 0.6362703839372673},{'mean_absolute_error': 1.0753836002321633}
186,{'mean_absolute_error': 0.6354814981205387},{'mean_absolute_error': 1.0591888491064065}
187,{'mean_absolute_error': 0.6128565456150504},{'mean_absolute_error': 1.0522390201158254}
188,{'mean_absolute_error': 0.6272876231938851},{'mean_absolute_error': 1.110010637179984}
189,{'mean_absolute_error': 0.6265870937353563},{'mean_absolute_error': 1.132042695059542}
190,{'mean_absolute_error': 0.6063342418365442},{'mean_absolute_error': 1.0971743781029242}
191,{'mean_absolute_error': 0.6306120609988922},{'mean_absolute_error': 1.0757410841033954}
192,{'mean_absolute_error': 0.6170346604492878},{'mean_absolute_error': 1.0586063006615303}
193,{'mean_absolute_error': 0.6105598110948246},{'mean_absolute_error': 1.0801095864655093}
194,{'mean_absolute_error': 0.6167218537075382},{'mean_absolute_error': 1.0528149150625004}
195,{'mean_absolute_error': 0.6055874410134798},{'mean_absolute_error': 1.0440341333448304}
196,{'mean_absolute_error': 0.6184032193721102},{'mean_absolute_error': 1.0626616850032469}
197,{'mean_absolute_error': 0.6821562614137798},{'mean_absolute_error': 1.1861097812258918}
198,{'mean_absolute_error': 0.6099725447473655},{'mean_absolute_error': 1.0862671898997294}
199,{'mean_absolute_error': 0.6510163689516438},{'mean_absolute_error': 1.1342331236720307}
200,{'mean_absolute_error': 0.5845265876378833},{'mean_absolute_error': 1.123187870255125}
201,{'mean_absolute_error': 0.6292379917463756},{'mean_absolute_error': 1.1311950646403528}
202,{'mean_absolute_error': 0.6368993034488908},{'mean_absolute_error': 1.1438657884737662}
203,{'mean_absolute_error': 0.6532262648844805},{'mean_absolute_error': 1.0965651348395304}
204,{'mean_absolute_error': 0.6029956175067606},{'mean_absolute_error': 1.0827572356219242}
205,{'mean_absolute_error': 0.640340076982406},{'mean_absolute_error': 1.1336127483431915}
206,{'mean_absolute_error': 0.6319060591627037},{'mean_absolute_error': 1.184495948354768}
207,{'mean_absolute_error': 0.6116252583525504},{'mean_absolute_error': 1.1240042953053453}
208,{'mean_absolute_error': 0.5918650193795484},{'mean_absolute_error': 1.1376650920514613}
209,{'mean_absolute_error': 0.5883006125634508},{'mean_absolute_error': 1.1372072499572599}
210,{'mean_absolute_error': 0.6303598705089859},{'mean_absolute_error': 1.1105579597435093}
211,{'mean_absolute_error': 0.5891457197034726},{'mean_absolute_error': 1.0438813369709785}
212,{'mean_absolute_error': 0.5908100352639855},{'mean_absolute_error': 1.1438325090015895}
213,{'mean_absolute_error': 0.6088398711943513},{'mean_absolute_error': 1.0681000355629133}
214,{'mean_absolute_error': 0.6513546964606286},{'mean_absolute_error': 1.1319178315788003}
215,{'mean_absolute_error': 0.5694141109196921},{'mean_absolute_error': 1.13317430607445}
216,{'mean_absolute_error': 0.5841522588710525},{'mean_absolute_error': 1.131013585611192}
217,{'mean_absolute_error': 0.5932307418416817},{'mean_absolute_error': 1.0950720356880221}
218,{'mean_absolute_error': 0.6054541869692137},{'mean_absolute_error': 1.0967459784564448}
219,{'mean_absolute_error': 0.5643072541978044},{'mean_absolute_error': 1.1545801070858779}
220,{'mean_absolute_error': 0.6190836793319344},{'mean_absolute_error': 1.1009004146285084}
221,{'mean_absolute_error': 0.5641217984461521},{'mean_absolute_error': 1.1051722063625988}
222,{'mean_absolute_error': 0.5729559466304254},{'mean_absolute_error': 1.0605940828981846}
223,{'mean_absolute_error': 0.607469399526771},{'mean_absolute_error': 1.0906246729228837}
224,{'mean_absolute_error': 0.5645957197868087},{'mean_absolute_error': 1.1233610378356997}
