,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
93,2.85215751,7.369005981,1.089634527,0.09783202,3.063872728,7.999060989,1.097255683,0.095301512,,,,,,,,,,,,,,,,,,
94,2.851757213,7.368413798,1.089170577,0.097687263,3.063372683,7.998517381,1.096405819,0.095194848,,,,,,,,,,,,,,,,,,
95,2.851706205,7.368770181,1.088660849,0.097687584,3.063312438,7.998572215,1.096177865,0.095187233,,,,,,,,,,,,,,,,,,
96,2.850890808,7.366941499,1.088134506,0.097596418,3.062701128,7.997273069,1.095712597,0.095117719,,,,,,,,,,,,,,,,,,
97,2.850434701,7.366186193,1.087528577,0.097589335,3.062317167,7.99672421,1.095123332,0.095103959,,,,,,,,,,,,,,,,,,
98,2.849971849,7.36469143,1.087752021,0.097472096,3.062204979,7.995499812,1.096091597,0.095023529,,,,,,,,,,,,,,,,,,
99,2.849873942,7.36548919,1.086578837,0.0975538,3.061726434,7.99566757,1.094453241,0.095058492,,,,,,,,,,,,,,,,,,
100,2.84909704,7.36316593,1.086699968,0.097425222,3.061478787,7.994112317,1.095348666,0.094975379,,,,,,,,,,,,,,,,,,
101,2.848934495,7.363229437,1.086210672,0.097363375,3.061266783,7.994140935,1.094736722,0.094922693,,,,,,,,,,,,,,,,,,
102,2.848234675,7.361685902,1.08563646,0.097381662,3.060767442,7.992876022,1.094497253,0.094929052,,,,,,,,,,,,,,,,,,
103,2.848377012,7.362998813,1.084665654,0.097466569,3.060556548,7.993722921,1.092976286,0.094970437,,,,,,,,,,,,,,,,,,
104,2.847849842,7.361063227,1.085264926,0.097221374,3.060492585,7.992331827,1.094342329,0.094803599,,,,,,,,,,,,,,,,,,
105,2.847284707,7.360756411,1.08389321,0.097204502,3.059755218,7.992024738,1.092453914,0.094787001,,,,,,,,,,,,,,,,,,
106,2.847272318,7.361133958,1.083427759,0.097255239,3.059573933,7.991808944,1.092104051,0.094808802,,,,,,,,,,,,,,,,,,
107,2.847038593,7.360601018,1.083354956,0.097159805,3.059691967,7.991801793,1.092533457,0.094740651,,,,,,,,,,,,,,,,,,
108,2.846280192,7.358691589,1.082961976,0.097187012,3.059085978,7.990264385,1.092241816,0.094751731,,,,,,,,,,,,,,,,,,
109,2.846567049,7.359414403,1.083219575,0.09706717,3.059313694,7.990497974,1.092773986,0.094669123,,,,,,,,,,,,,,,,,,
110,2.845664227,7.357618175,1.082371044,0.097003461,3.058665232,7.989361398,1.092016721,0.094617578,,,,,,,,,,,,,,,,,,
111,2.845078963,7.356400298,1.08187093,0.096965663,3.05821526,7.988459202,1.091595122,0.094591455,,,,,,,,,,,,,,,,,,
112,2.844793658,7.356572934,1.080815462,0.096992577,3.0577086,7.988375046,1.09014506,0.094605693,,,,,,,,,,,,,,,,,,
113,2.844154245,7.355067211,1.080517549,0.096877973,3.057358477,7.98731578,1.090232951,0.0945267,,,,,,,,,,,,,,,,,,
114,2.84382287,7.354511015,1.080123393,0.096834201,3.057157159,7.987095091,1.089891455,0.09448493,,,,,,,,,,,,,,,,,,
115,2.844003737,7.355025582,1.080156218,0.096829411,3.057329735,7.987170685,1.090335457,0.094483062,,,,,,,,,,,,,,,,,,
