,train_scores,valid_scores
132,{'rms_score': 8.126117985719782},{'rms_score': 9.315523912377689}
133,{'rms_score': 8.123664047559004},{'rms_score': 9.31370141422105}
134,{'rms_score': 8.196969926928821},{'rms_score': 9.365040731409938}
135,{'rms_score': 8.126059785541937},{'rms_score': 9.316086464756557}
136,{'rms_score': 8.156225912425707},{'rms_score': 9.338488761148225}
137,{'rms_score': 8.121517351912324},{'rms_score': 9.318204050606615}
138,{'rms_score': 8.080645735909245},{'rms_score': 9.298295259086327}
139,{'rms_score': 8.030854078399745},{'rms_score': 9.278067515029521}
140,{'rms_score': 7.934200979957664},{'rms_score': 9.270947824378352}
141,{'rms_score': 7.454845856958254},{'rms_score': 9.25546566532392}
142,{'rms_score': 7.767189869453235},{'rms_score': 9.269519944606412}
143,{'rms_score': 7.209081645026414},{'rms_score': 9.36767393552712}
144,{'rms_score': 6.547226634759335},{'rms_score': 9.266359125223014}
145,{'rms_score': 5.848888458012284},{'rms_score': 9.269568410838852}
146,{'rms_score': 4.234864153531875},{'rms_score': 9.267604058014879}
147,{'rms_score': 3.086972385209911},{'rms_score': 9.251724947545593}
148,{'rms_score': 8.556639312730187},{'rms_score': 9.691422911074833}
149,{'rms_score': 8.560586475136782},{'rms_score': 9.70079619401087}
150,{'rms_score': 8.288550699729939},{'rms_score': 9.50490253128373}
151,{'rms_score': 8.500398798761426},{'rms_score': 9.66530259701554}
152,{'rms_score': 8.113715531691511},{'rms_score': 9.397394979275616}
153,{'rms_score': 8.102252048165385},{'rms_score': 9.395379926995766}
154,{'rms_score': 8.108875473808885},{'rms_score': 9.399985046985687}
155,{'rms_score': 8.194151789830453},{'rms_score': 9.455602720368823}
156,{'rms_score': 8.3850010840398},{'rms_score': 9.587093170892347}
157,{'rms_score': 7.898790913228888},{'rms_score': 9.292561201733955}
158,{'rms_score': 8.19039848875732},{'rms_score': 9.445237137053756}
159,{'rms_score': 8.522101088117262},{'rms_score': 9.677432870625655}
160,{'rms_score': 7.9448017676192695},{'rms_score': 9.402221188173312}
161,{'rms_score': 4.738219280005988},{'rms_score': 9.32864579781676}
162,{'rms_score': 5.770133671015517},{'rms_score': 9.48503409846322}
163,{'rms_score': 6.06028212083636},{'rms_score': 9.238747286578008}
164,{'rms_score': 6.007798140150467},{'rms_score': 9.3011801820554}
165,{'rms_score': 5.415974033578242},{'rms_score': 9.473763114260686}
166,{'rms_score': 3.7923856200435866},{'rms_score': 9.225193949368016}
167,{'rms_score': 6.343395502781818},{'rms_score': 9.552301609134659}
168,{'rms_score': 5.760160744312921},{'rms_score': 9.778472713038306}
169,{'rms_score': 3.5019000275456147},{'rms_score': 9.280844524537727}
170,{'rms_score': 4.8689619282059855},{'rms_score': 9.51503243574455}
171,{'rms_score': 6.344991049067225},{'rms_score': 9.660319145928026}
172,{'rms_score': 4.174558364312104},{'rms_score': 9.320184804326686}
173,{'rms_score': 5.2266986238624344},{'rms_score': 9.462723474123502}
174,{'rms_score': 4.157428343701082},{'rms_score': 9.438095524579557}
175,{'rms_score': 4.6893359540064115},{'rms_score': 9.497455624272687}
